Complexity,Loss,Equation
1,0.00020061138,"x1"
3,0.00019969296,"x1 * 0.9986483"
5,0.00019969213,"(x1 + -2.8841758e-5) * 0.99864775"
6,0.00019916148,"x1 * cos(x1 * -0.06523472)"
7,0.00018496082,"sin(x1 * 1.7254764) * cos(x0)"
8,0.000108568725,"cos(x0) * sin(sin(x1) * 1.8408185)"
13,0.00010850862,"(0.0004119112 + cos(x0)) * sin(sin(x1) - (sin(x1) * -0.8407655))"
15,0.00010590187,"cos(sin(sin(x0))) * sin(x1 - (cos(x0) * (sin(x1) * -0.66346234)))"
16,0.000104811974,"cos(sin(x0)) * sin(x1 - (-0.7566762 * sin(sin(cos(sin(x0)) * x1))))"
18,0.000104803265,"cos(sin(x0)) * sin(x1 - ((sin(sin(x1 * cos(sin(x0)))) + 0.0002929615) * -0.75667626))"
29,0.00010478572,"cos(sin(x0)) * sin(x1 - (sin(sin(x1 * cos(sin(x0 + ((((x0 * (x1 * x1)) * -0.11102587) * x1) * sin(-0.11102587)))))) * -0.7566762))"
