Complexity,Loss,Equation
1,2.059954e-9,"x1"
3,2.001479e-9,"x1 * 0.99998003"
5,2.0013342e-9,"-3.6528218e-7 - (x1 * -0.99998)"
6,1.932737e-9,"x1 * cos(x0 * 0.008263018)"
8,1.9268191e-9,"(cos(x0 * -0.009108537) * 1.0000088) * x1"
9,1.9263984e-9,"x1 * (((x0 * -4.451339e-5) * x0) - -1.0000108)"
11,1.9263047e-9,"(x1 * (((x0 * x0) * -4.475196e-5) - -1.0000111)) + -3.2846992e-7"
12,1.9260087e-9,"(x0 * (x0 * (sin(x1) * -4.6916583e-5))) - (x1 * -1.000011)"
13,1.9259159e-9,"(((x0 * (sin(sin(x1)) * x0)) * 4.869594e-5) - x1) * -1.0000108"
14,1.9258848e-9,"(((x0 * (sin(x1) * (x0 * 4.690862e-5))) - x1) - -3.2566612e-7) * -1.000011"
15,1.9257138e-9,"(x0 * ((((x1 * -0.11263329) - x0) * 4.475332e-5) * x1)) - (x1 * -1.000011)"
16,1.9256423e-9,"((x1 * (x0 * 4.4804397e-5)) * ((sin(x1) - x1) - x0)) - (x1 * -1.0000108)"
17,1.9254212e-9,"(((x1 * 4.497741e-5) * ((sin(sin(x1)) - x1) - x0)) * x0) - (-1.000011 * x1)"
19,1.925383e-9,"(x0 * ((x1 * ((x1 * ((x1 * x1) * -0.33481506)) - x0)) * 4.484447e-5)) - (x1 * -1.0000107)"
21,1.9252973e-9,"((((x0 * ((x1 * ((x1 * x1) * -0.28287953)) - x0)) * x1) * 4.490983e-5) - (x1 * -1.0000108)) - 3.2515433e-7"
23,1.925278e-9,"(((x0 * (x1 * (((((x1 * x1) * -0.34226224) * x1) - x0) * 3.4393e-5))) - (x1 * -0.7657616)) * 1.3059036) + -3.2621966e-7"
28,1.9252544e-9,"(x0 * ((4.482474e-5 * x1) * ((((x1 * x1) * ((x1 * x1) * x1)) * sin(-0.11117262 - cos(sin(x0)))) - x0))) - (x1 * -1.0000107)"
