Complexity,Loss,Equation
1,7.1016e-7,"x1"
3,7.0123343e-7,"x1 * 0.99993587"
5,7.01192e-7,"(x1 + 6.331241e-6) * 0.99993587"
6,6.96806e-7,"x1 + (sin(x1) * 0.00020164125)"
7,6.967019e-7,"(sin(sin(x1)) * 0.00022301126) + x1"
8,6.6644515e-7,"sin(x1 * 0.056059014) + (x1 * 0.9441397)"
12,6.629596e-7,"((sin(x1) * 0.0004340212) + (x1 + (x0 * 8.321135e-5))) * 0.999872"
13,6.6218075e-7,"((x0 * 8.9731686e-5) + ((sin(sin(x1)) * 0.0004891756) + x1)) * 0.9998727"
14,6.618304e-7,"(x1 + (((x0 * 0.16489267) + sin(sin(sin(x1)))) * 0.0005343532)) * 0.999873"
15,6.615027e-7,"(x1 * 0.99987346) + (((x0 * 0.16489272) + sin(sin(sin(sin(x1))))) * 0.0005723173)"
16,6.595423e-7,"(x1 + ((sin((x1 * x0) * sin(x1)) + sin(x1)) * 0.00038468314)) * 0.99994934"
17,6.5897046e-7,"(x1 + ((sin(x1) + sin(sin(x0 * (x1 * sin(x1))))) * 0.0004242133)) * 0.99994063"
18,6.5404924e-7,"(x1 + ((sin(x0 * (sin(x1 - 0.19469789) * x1)) + sin(x1)) * 0.0004092549)) * 0.99994373"
19,6.5179705e-7,"0.9999364 * (x1 + (0.00055826217 * sin((x0 * sin(x1 * sin(x1 - 0.19469789))) + sin(x1))))"
20,6.50604e-7,"0.9999364 * ((0.00055826217 * sin(sin(x1) + (x0 * sin(x1 * sin(sin(x1 - 0.19469789)))))) + x1)"
21,6.488686e-7,"(x1 + (0.00055826217 * sin((x0 * sin(sin(x1 - 0.19469789) * x1)) + sin(x1 - 0.19469789)))) * 0.9999364"
25,6.460295e-7,"x1 + ((sin(x1) + sin(((((x1 * x1) * 0.093901284) + 0.17506798) * x0) - (x1 * sin(x1 * sin(x1))))) * 0.000598579)"
26,6.460241e-7,"x1 + sin((sin(x1) + sin(((((x1 * 0.09352124) * x1) + 0.17513368) * x0) - (x1 * sin(x1 * sin(x1))))) * 0.0006039556)"
27,6.450369e-7,"(x1 * 1.0000181) + ((sin((x0 * (((x1 * x1) * 0.093901485) + 0.17506796)) - (x1 * sin(x1 * sin(x1)))) + sin(x1)) * 0.0006514549)"
