Complexity,Loss,Equation
1,0.00086125644,"x1"
3,0.00086110824,"x1 + 0.00038632948"
5,0.000860991,"(x1 - -0.00038867208) * 1.0002301"
6,0.00086090836,"x1 + (cos(x0) * -0.0011861443)"
7,0.0008607378,"(x0 * (x0 * 0.0002831804)) + x1"
8,0.00085856405,"(sin(x1 * 6.95818) * 0.0014085759) + x1"
10,0.0008500358,"((cos(x1 * 4.5054355) * -0.0039054858) * x0) + x1"
11,0.00084954785,"(x0 * (sin(cos(x1 * -4.510769)) * -0.004104567)) + x1"
12,0.00082368514,"x1 + ((x0 * cos((x1 * 7.051275) * x0)) * 0.0064841094)"
13,0.0008082759,"((x0 * -0.0076036416) * cos((sin(x1) * x0) * 11.516213)) + x1"
14,0.00080268685,"x1 + ((x0 * -0.005557093) * sin((x1 * 24.441225) * (x0 + x1)))"
16,0.00077379897,"(sin(((x1 + (x0 * 3.612876)) * x1) * 4.0218105) * (x0 * 0.009212663)) + x1"
18,0.0007659801,"x1 + (x0 * (cos((((x0 * x1) + 0.49965975) * 3.1382494) * (x0 * x0)) * -0.011468204))"
19,0.0007297888,"x1 + ((x0 * 0.012548296) * sin(cos(((x0 * x1) + 0.21623717) * (x0 + x0)) * -3.9869447))"
25,0.0006829848,"x1 + (sin((-0.65751255 - cos(x1)) * (x0 * cos((x0 * -1.2541878) * (0.75008476 - cos((x1 * 2.2812028) * x0))))) * 0.029088926)"
27,0.0006801991,"x1 + (sin((-0.8907172 - cos(-0.58132416 - x1)) * (cos(x0 * ((0.737693 - cos(x1 * (2.2710474 * x0))) * -1.245164)) * x0)) * 0.028022327)"
