Complexity,Loss,Equation
1,0.49637622,"0.032686174"
3,8.140216e-9,"x0 * -0.99998283"
5,8.137366e-9,"1.6931567e-6 - (x0 * 0.99998266)"
7,8.13487e-9,"((x1 * 3.2501239e-6) - x0) * 0.99998266"
9,8.131755e-9,"((1.7546017e-6 - x0) * 0.9999826) + (x1 * 3.3641204e-6)"
10,8.130169e-9,"(((cos(x0) + x1) * 3.0653912e-6) - x0) * 0.99998254"
11,8.1275076e-9,"((x1 * ((x1 + 0.74561787) * 4.3832338e-6)) - x0) * 0.99998266"
12,8.126209e-9,"((x1 + cos(x0)) * (x1 * 4.331202e-6)) - (x0 * 0.99998266)"
13,8.124715e-9,"(((x1 * (x1 + 0.8297889)) * (x1 * 5.2776218e-6)) - x0) * 0.99998266"
14,8.123653e-9,"0.99998266 * (((x1 * (cos(x0 + x0) + x1)) * 5.3381664e-6) - x0)"
15,8.114824e-9,"(sin(x0 + ((x0 + 0.3448087) * (cos(x0) + x1))) * 1.9184596e-5) - x0"
17,8.113135e-9,"(sin((((x1 * x0) - -0.40083927) * (cos(x0) + x1)) + x0) * 1.8211738e-5) - x0"
18,8.112606e-9,"(sin(x0 + ((x0 + x1) * ((x1 + 0.40876013) * (x0 + 0.50277954)))) * 1.9815396e-5) - x0"
19,8.10845e-9,"(2.1350159e-5 * sin(x0 + (((x1 + cos(x0)) * (x0 + 0.35243818)) * (x1 + x0)))) - x0"
20,8.10562e-9,"(sin((((x1 + (x1 * x1)) * (x0 + x1)) * (x0 + 0.36375484)) + x0) * 2.0999796e-5) - x0"
22,8.103593e-9,"(sin((((0.19212972 + (x1 * x1)) + x1) * ((x0 + 0.35243818) * (x0 + x1))) + x0) * 2.1350159e-5) - x0"
23,8.102777e-9,"(2.1350159e-5 * sin(x0 + ((((x1 + 0.19255821) * (x1 + cos(x0))) * (x0 + 0.35243818)) * (x1 + x0)))) - x0"
24,8.100869e-9,"(sin(((((x1 * x1) + x1) * (x0 + x1)) * (((x1 + 0.34692752) * x0) + 0.36375484)) + x0) * 2.0999796e-5) - x0"
27,8.100122e-9,"(sin(sin(sin(x0)) + ((((x1 * (x1 + 1.1992002)) * (x0 + 0.27482074)) * (x1 + 0.3733514)) * (x1 + sin(x0)))) * 2.3197537e-5) - x0"
28,8.099722e-9,"(sin(sin(sin(x0)) + (((x0 + 0.6797575) + x1) * ((x1 * ((x0 + 0.27482074) * (x1 + x0))) * (x1 + 0.3733514)))) * 2.3197537e-5) - x0"
29,8.099182e-9,"(sin(sin(sin(x0)) + ((((x0 + 0.6913247) + x1) * x1) * ((sin(x0) + x1) * ((x0 + 0.29947418) * (x1 + 0.39544743))))) * 2.3366554e-5) - x0"
30,8.098769e-9,"(2.3197537e-5 * sin(sin(sin(x0)) + (((((cos(x0) + x1) + x0) * (x1 * (x1 + sin(x0)))) * (0.27482074 + x0)) * (x1 + 0.3733514)))) - x0"
