Complexity,Loss,Equation
1,0.49637622,"0.03272525"
3,0.00020431497,"x0 * -0.99946135"
5,0.00020422466,"(x0 * -0.9994831) - 0.00030196746"
7,0.00018233301,"sin(x0 * -1.7282372) * cos(x1)"
8,0.0001035409,"cos(x1) * sin(sin(x0) * -1.843536)"
10,0.000103492835,"sin(sin(x0) * -1.8435527) * (cos(x1) + 0.00027799187)"
12,0.000103330734,"cos(x1 - (x1 * 0.007424513)) * sin(sin(x0) * -1.8258479)"
14,0.00010332572,"sin(sin(x0) * -1.8258346) * cos(((x1 - -0.007270875) * 0.00739252) - x1)"
17,0.00010064807,"((x1 * (x0 * 0.51403433)) * x1) - sin((x0 + (sin(x0) * -0.4888532)) + x0)"
19,0.00010062485,"(x1 * (0.00021401422 - (x1 * (x0 * -0.5138584)))) - sin((x0 + x0) + (sin(x0) * -0.4890838))"
21,0.000100623496,"((0.00021087588 - (x0 * (x1 * -0.5143723))) * x1) - (sin((x0 + x0) + (sin(x0) * -0.48848507)) - -4.5427274e-5)"
29,0.00010058936,"(sin(x0) * (-0.0005284484 - (sin(x1) * (x1 * -0.6155312)))) - sin(sin(x0 * -0.76644224) + (((x0 * -0.40420595) + x0) + ((x0 * 0.68769723) + x0)))"
