Complexity,Loss,Equation
1,4.6504207,"-0.030011518"
2,3.588181,"sin(x1)"
3,1.0607523e-6,"x1 * 0.99986285"
5,1.0606741e-6,"(x1 - 8.908266e-6) * 0.9998628"
7,1.0602271e-6,"(x1 - (x0 * 3.0523184e-5)) * 0.9998626"
8,1.0572682e-6,"x1 * (1.0000017 - (cos(x0) * 0.00016372465))"
10,1.0571985e-6,"x1 - (((x1 * 0.0001615106) - 1.08909535e-5) * cos(x0))"
11,1.0568593e-6,"((x1 - ((x0 * x0) * 0.00012256029)) - -5.995071e-5) * 0.9998623"
12,1.0544446e-6,"(x1 - (x0 * ((sin(x0) - x0) * -0.00049432105))) * 0.9998624"
13,1.0523703e-6,"(x1 * 0.99986225) - (x0 * ((x0 * (x0 * 0.00022238717)) - 0.00019473716))"
14,1.0507918e-6,"(x1 - (((sin(x0 + x0) - x0) * x0) * -0.00027248383)) * 0.99986213"
15,1.04782e-6,"(x1 - (x0 * (x0 * (((x0 * 0.00027161138) * x0) - 0.00028775405)))) * 0.9998621"
16,1.0451934e-6,"(x1 - (((-0.8259353 - x0) * (sin(x0 + x0) - x0)) * 0.0002481778)) * 0.99986166"
17,1.0405065e-6,"(x1 * 0.99986154) - ((x0 * (((x0 * 0.0002465764) * x0) - 0.0002399086)) * (x0 + 0.87094694))"
18,1.0368349e-6,"(x1 * 0.99986166) - (x0 * ((cos(x1) + x0) * ((x0 * (x0 * 0.00028768752)) - 0.0002823521)))"
19,1.032446e-6,"(x1 * 0.9998615) - ((x0 * (x0 * (((x0 * 0.0002637749) * x0) - 0.0003055921))) * (x0 + 0.9998611))"
20,1.0272499e-6,"(x1 * 0.9998615) - (((x0 * (x0 * 0.0003272239)) - 0.00039004095) * (x0 * ((x0 + cos(x1)) * x0)))"
21,1.0237999e-6,"(x1 - ((((x0 * 0.00027264297) * x0) - 0.0003581703) * (x0 * (x0 * ((x0 * x0) + x0))))) * 0.9998615"
22,1.0179486e-6,"(x1 * 0.99986124) - (((((x0 * 0.00032708724) * x0) - 0.0004356626) * (x0 * x0)) * ((x0 + cos(x1)) * x0))"
23,1.0125193e-6,"(x1 * 0.9998613) - ((x0 * x0) * (((((x0 + cos(x1)) * x0) * x0) * cos(x0 * x0)) * -0.00036069553))"
24,1.0043123e-6,"(x1 * 0.9998611) - (((cos(x1) * x0) * (x0 * (x0 * (x0 + 1.0532097)))) * (((x0 * x0) * 0.0004213043) - 0.0005553136))"
25,9.998728e-7,"(x1 * 0.9998618) - ((x0 * (cos(x1) * ((x0 * (x0 * 0.00046898573)) - 0.00062201807))) * ((x0 * x0) * (x0 + cos(x1))))"
26,9.894417e-7,"(x1 * 0.99986225) - (x0 * (x0 * ((x0 + cos(x1 + (x1 * x0))) * (x0 * (((x0 * x0) * 0.00055116083) - 0.0007321758)))))"
27,9.860629e-7,"(x1 * 0.9998639) - ((((x0 * x0) * 0.00058983796) - 0.0007778695) * (cos(x1 + x1) * (((x0 * x0) * (x0 + cos(x1))) * x0)))"
28,9.793197e-7,"(x1 * 0.9998618) - (x0 * ((cos(x0 * x1) * (((x0 * x0) * 0.00044551192) - 0.0006364067)) * ((x0 * (x0 * x0)) * (x0 + 1.1629765))))"
29,9.704169e-7,"(x1 * 0.9998618) - (((x0 * (cos(x1 + x1) * ((x0 * (x0 * 0.00046898573)) - 0.00062201807))) * x0) * ((x0 * x0) * (x0 + cos(x1))))"
