Complexity,Loss,Equation
1,38.614853,"0.028370101"
3,0.4479299,"x0 * -8.238207"
4,0.098767415,"sin(x0) * -9.793514"
6,0.09869466,"sin(x0 * 1.0074334) * -9.745241"
8,0.087099984,"((x1 * 0.0051072096) + sin(x0)) * -9.796657"
10,0.08706417,"((x0 - x1) * 0.050052613) + (sin(x0) * -9.8556385)"
12,0.08705313,"(x0 * 0.097219914) + ((x1 * -0.04999019) + (sin(x0) * -9.911201))"
13,0.08688477,"((x1 * 0.0051055304) + sin(x0)) * ((cos(x1) * -0.03398335) + -9.792052)"
14,0.086882606,"(sin(x0) + (x1 * 0.0051055304)) * (-9.792052 + (-0.03398335 * sin(cos(x1))))"
15,0.086732484,"((cos(x1 * x0) * -0.05122074) + -9.782032) * ((x1 * 0.005072122) + sin(x0))"
17,0.086726815,"((cos(x1 * (x0 + -0.060884535)) * -0.05122074) + -9.782032) * ((x1 * 0.005072122) + sin(x0))"
18,0.08671423,"((cos(x1 * x1) * (-0.05122074 * cos(x0))) + -9.782032) * ((x1 * 0.005072122) + sin(x0))"
19,0.086494066,"(sin(x0) + (x1 * 0.0050916024)) * (cos(cos(x1 * 0.49898332) * (0.2880294 - cos(x0))) + -10.767727)"
24,0.086408496,"((x1 * 0.0050690514) + sin(x0)) * (sin((cos(cos(x1)) * (x1 * 0.2395849)) + -1.5458008) + ((cos(x0) * -0.14117329) + -8.762924))"
26,0.08638238,"(sin(x0) + (x1 * 0.0050674067)) * (-8.763959 + ((cos(x0) * -0.14140803) + sin((0.24179026 * (x1 * cos(cos(x1 + 0.12094782)))) + -1.5384767)))"
27,0.08628901,"(x1 * -0.04950212) + (sin(x0) * ((sin(((x1 * 0.24805927) * cos(cos(x1))) + -1.5458237) + (cos(sin(x0) + x0) * -0.086137585)) + -8.857924))"
29,0.08626886,"((sin(((cos(cos(x1 + 0.1494828)) * 0.24999227) * x1) + -1.5364939) + (cos(sin(x0) + x0) * -0.08666039)) + -8.858834) * (sin(x0) + (x1 * 0.0050551253))"
