Complexity,Loss,Equation
1,2.059954e-9,"x1"
3,2.001482e-9,"x1 * 0.99998"
5,2.0013342e-9,"(x1 * 0.99998) - 3.6510323e-7"
6,1.9327326e-9,"x1 * cos(x0 * 0.008266875)"
8,1.9264021e-9,"(cos(x0 * 0.009456507) * 1.0000111) * x1"
9,1.926398e-9,"((x0 * (x0 * -4.4523906e-5)) + 1.0000108) * x1"
10,1.9262882e-9,"((cos(x0 * 0.009506865) * 1.0000113) * x1) - 3.258716e-7"
11,1.9262871e-9,"((x0 * (x0 * -4.4809083e-5)) + 1.0000111) * (x1 + -3.1154943e-7)"
12,1.9262183e-9,"x1 * (((x0 * (x0 * cos(x1))) * -5.1008203e-5) + 1.0000103)"
13,1.9256694e-9,"x1 * (((x0 * -4.659656e-5) * (cos(cos(x0)) * x0)) + 1.0000076)"
14,1.9256337e-9,"x1 * (((x0 * ((sin(x1) - x1) - x0)) * 4.4924556e-5) + 1.000011)"
15,1.9254063e-9,"x1 * (((x0 * ((sin(sin(x1)) - x1) - x0)) * 4.4924556e-5) + 1.000011)"
18,1.925382e-9,"(((((((x1 - sin(x1)) * -1.9605571) - x0) * x0) + -0.19749095) * 4.4839104e-5) + 1.0000197) * x1"
19,1.9252864e-9,"(x1 * ((((((sin(sin(x1)) - x1) - x0) * x0) + -0.19749095) * 4.4839104e-5) + 1.0000197)) + -3.243874e-7"
20,1.9252633e-9,"(((((((x1 - sin(x1)) * -1.9605571) - x0) * x0) + -0.19749095) * 4.4839104e-5) + 1.0000197) * (x1 + -3.243874e-7)"
25,1.9252488e-9,"((((x0 * (((x1 - sin(x1)) * (-1.9605571 - sin(x0 * -0.19749095))) - x0)) + -0.19749095) * 4.4839104e-5) + 1.0000197) * (x1 + -3.243874e-7)"
27,1.9252318e-9,"(-3.243874e-7 + x1) * ((4.4839104e-5 * (-0.19749095 + (x0 * (((-1.3549455 - cos(x0 + x1)) * (x1 + sin(3.3396313e-7 - x1))) - x0)))) + 1.0000197)"
28,1.9252302e-9,"(x1 + -3.243874e-7) * ((((x0 * (((-0.990724 - cos(cos(x0 - x1))) * ((x1 + 3.3396313e-7) - sin(x1))) - x0)) + -0.19749095) * 4.4839104e-5) + 1.0000197)"
30,1.9252266e-9,"(-3.243874e-7 + x1) * ((4.4839104e-5 * (-0.19749095 + (x0 * (((-0.990724 - cos(cos(x0 - (0.15688673 + x1)))) * (x1 + sin(3.3396313e-7 - x1))) - x0)))) + 1.0000197)"
