Complexity,Loss,Equation
1,5.87729e-5,"x1"
3,5.8737318e-5,"x1 + 0.00018863218"
5,5.87013e-5,"x1 - (x0 * -0.000288119)"
7,5.867544e-5,"((x1 * x1) * 0.0014781994) + x1"
8,5.867362e-5,"((cos(x1) * -0.0034516233) + x1) + 0.003392535"
9,5.864632e-5,"x1 - (x0 * ((x0 * -0.00023710598) + -0.000254736))"
10,5.8634007e-5,"(sin((x0 + x0) - -1.9899433) * -0.0005648367) + x1"
11,5.8607584e-5,"(((x1 * 0.0014497674) * x1) + (x0 * 0.00028054544)) + x1"
13,5.8587e-5,"(x0 * ((x1 * ((x1 * 0.0019117811) * x0)) + 0.00028002335)) + x1"
14,5.8560996e-5,"x1 + (((x1 * x1) * 0.0027976567) + (sin(x0 + -1.0584619) * 0.00068648614))"
15,5.8556343e-5,"(((x1 * x1) * 0.0022213748) + x1) + (sin(sin(x0 + -0.7659024)) * 0.0005623588)"
16,5.8549078e-5,"(x1 + ((x1 * 0.0026619923) * sin(x1))) + (sin(sin(x0 + -0.8415269)) * 0.00072555634)"
17,5.8529477e-5,"x1 + (((x1 * x1) * 0.0021856981) + ((x0 + ((x0 * x0) + -1.3053437)) * 0.00036899457))"
18,5.8512316e-5,"x1 + (((x1 * (x1 * (x0 * 0.0031149331))) + 0.0003781471) * sin((x0 + x0) + -0.86396325))"
19,5.850487e-5,"(sin((x0 + sin(x0)) + -0.9743366) * ((x1 * (x0 * (x1 * 0.0035593587))) + 0.00043627003)) + x1"
20,5.847299e-5,"((sin((x0 + x0) + -0.8679098) + -0.353093) * (0.0005385357 + ((x1 * x1) * (0.004934143 * x0)))) + x1"
21,5.8462243e-5,"((sin((x0 + -0.8679098) + x0) + -0.353093) * ((x1 * ((x1 * 0.004934143) * sin(x0))) + 0.0005385357)) + x1"
22,5.84477e-5,"(x1 + ((((x1 * ((x0 + -0.61008507) * x1)) * 0.0044190674) + 0.000765852) * sin(x0 + (x0 + -0.74823296)))) - 0.00025820456"
23,5.8439244e-5,"(x1 + ((((sin(x0) + -0.45257884) * (x1 * (x1 * 0.0056776474))) + 0.00081261713) * sin((x0 + -0.9295231) + x0))) - 0.00024682074"
24,5.8434063e-5,"x1 + ((((((sin(sin(x0)) + -0.3236681) * (x1 * 0.0061144326)) * x1) + 0.00070589693) * sin((x0 + -0.75592965) + x0)) - 0.000272628)"
25,5.8430334e-5,"x1 + ((((x1 * ((0.00567815 * x1) * (-0.45257884 + sin(x0 + x0)))) + 0.00081255124) * sin((x0 + -0.9295232) + x0)) - 0.00024921523)"
26,5.833692e-5,"(((((x1 * (0.0030968767 * x1)) * (sin(x0) - 2.810937)) + 0.003483302) * ((x1 + x1) * (x1 + -0.19591996))) * (x1 + x0)) + x1"
27,5.8247195e-5,"x1 + (((x1 * ((x1 * (sin(x0) - 4.484546)) * 0.004009262)) + 0.0066237445) * (((x1 + -0.06378477) * (x1 + x1)) * (sin(x0) + x1)))"
28,5.824101e-5,"x1 + ((((x1 + -0.11279106) * (x1 + x1)) * (((x1 * ((x0 + -1.0528623) - 7.666751)) * (x1 * 0.002447987)) + 0.007495673)) * (sin(x0) + x1))"
29,5.816705e-5,"x1 + ((((x1 + -0.07153021) * (x1 + x1)) * (((x1 * (sin(x0 + -1.0307773) - 2.9346051)) * (x1 * 0.007004331)) + 0.008419108)) * (sin(x0) + x1))"
