Complexity,Loss,Equation
1,0.17947422,"-0.004567503"
3,0.15344189,"x0 * -0.17381662"
4,0.11713666,"sin(x0) - x0"
6,0.04103739,"sin(x0 * 1.9823551) - x0"
7,0.038648624,"x0 * (0.98002785 - (x0 * x0))"
8,0.037150234,"x0 * cos(-0.60190296 - (x0 * x0))"
9,0.03568495,"x0 * sin(cos(x1) - (x0 * x0))"
10,0.034917444,"x0 * ((cos(x1) - (x0 * x0)) * 0.87857074)"
11,0.032486673,"(cos(x1) * x0) * (cos(x1) - (x0 * x0))"
12,0.03213153,"(cos(x1) * x0) * (cos(sin(x1)) - (x0 * x0))"
13,0.030336497,"(cos(x1 * 1.5021641) * (cos(x1) - (x0 * x0))) * x0"
15,0.030149892,"x0 * ((cos(x1) - ((x0 * x0) - 0.016843205)) * cos(x1 * 1.476945))"
16,0.030037029,"(x0 * cos(x1 * (cos(x0) + 1.0577284))) * (cos(x1) - (x0 * x0))"
17,0.02994016,"((cos(sin(x1)) - (x0 * x0)) * x0) * cos(x1 + (x1 * cos(x0)))"
18,0.029539062,"(cos(sin(x1 + x1)) - ((x0 * x0) - 0.05576567)) * (cos(x1 + x1) * x0)"
19,0.029518336,"(x0 * cos(x1 + (cos(x0) * x1))) * (cos(sin(x1)) - ((x0 * x0) - 0.024982963))"
20,0.02819369,"x0 * (cos((x1 + x1) * cos(x0 - (x1 * 6.456172))) * (cos(x1) - (x0 * x0)))"
21,0.027993953,"x0 * (cos(cos(sin((x1 * 6.456172) - x0)) * (x1 + x1)) * (cos(x1) - (x0 * x0)))"
22,0.026756922,"(sin((cos(x1 * 1.5320631) - ((x0 * x0) - 0.07228428)) * (cos(x1 + x1) + 0.12710026)) * x0) * 1.1162832"
