Complexity,Loss,Equation
1,0.00037133272,"x1"
3,0.00037000424,"x1 * 0.99700254"
5,0.00037000098,"(x1 * 0.9970083) + 5.733956e-5"
6,0.0003690906,"x1 * cos(x1 * 0.15251221)"
7,0.00036796147,"sin(cos(x1) - -0.6695989) * x1"
9,0.00036755815,"sin(cos(x1 + -0.034772933) - -0.6725369) * x1"
11,0.00036702873,"x1 * sin(cos((x0 * 0.0323339) + x1) - -0.67643756)"
13,0.00036653626,"x1 * sin(cos(((x0 + -1.5522256) * 0.0323339) + x1) - -0.67643756)"
15,0.00036570764,"x1 * cos(((x1 * x1) * x1) * (x1 * cos(x0 - x1)))"
16,0.00036510927,"x1 * cos(((x1 * x1) * (x1 * cos(sin(x1 - x0)))) * x1)"
17,0.0003640086,"x1 * cos((x1 * (x1 * (x1 * x1))) * cos((x1 - x0) * x0))"
19,0.00036223198,"cos(((x1 * x1) * (x0 + (x1 + x1))) * (x1 * (x1 * cos(x0)))) * x1"
20,0.00036156832,"cos(((x1 + sin(x0)) + x1) * ((x1 * (x1 * x1)) * (x1 * cos(x0)))) * x1"
21,0.0003607932,"cos(cos(x0) * ((x1 * (x1 * (x1 * x1))) * ((x0 * x1) - -1.5851681))) * (x1 * 1.0052837)"
23,0.00036050478,"cos((x1 * cos(x0)) * ((x1 * x1) * (x1 * (((-0.061955955 + x0) * x1) - -1.5851597)))) * (x1 * 1.005559)"
24,0.0003605005,"cos(cos(x0) * (((((x1 * x1) * (x0 + (x1 + x1))) * (x1 * x1)) * cos(x0)) * -1.2856479)) * x1"
25,0.0003598334,"x1 * (cos((((x1 * x0) - -1.2856395) * cos(x0)) * ((x1 + x1) * ((x1 * x1) * (x1 * x1)))) * 1.0049589)"
26,0.00035662373,"cos((cos(x0) * ((x1 * ((x1 * x1) * x1)) * ((x0 + x1) + x1))) * (cos(x0) * -1.84937)) * (x1 * 1.0063003)"
30,0.00035529034,"(cos(((cos(x0) * ((x1 * x1) * (x0 + (x1 + x1)))) * (x1 * (x1 * cos(x0)))) * (-1.4994664 - (x1 * x1))) * x1) * 1.0062037"
