Complexity,Loss,Equation
1,0.17947422,"-0.0045674965"
3,0.15347257,"x0 * -0.17359042"
4,0.11734384,"sin(x0) - x0"
6,0.045766927,"sin(x0 * 1.9617431) - x0"
8,0.042626157,"((sin(x0) * 1.1766634) - x0) * 4.7404327"
9,0.04217191,"x0 * (((x0 * x0) + -0.9522273) * -0.82802445)"
11,0.040875394,"(cos(x1) * x0) * sin((x0 * x0) + -4.1148224)"
12,0.04066237,"cos(x1) * (((x0 * x0) + -0.9648843) * (x0 * -0.89027643))"
13,0.0405163,"(cos(x1 * 3.9563394) + 4.4838986) * ((sin(x0) * 1.1822234) - x0)"
14,0.040196687,"(x0 * (((x0 * x0) + -0.97639394) * -0.9445741)) * cos(x1 * 1.376894)"
15,0.039699286,"(-1.0114866 * cos(x1)) * (x0 * ((x0 * x0) + (cos(x1) * -1.0274619)))"
16,0.03809378,"((cos(x1) * x0) * -1.0241028) * sin((x0 * x0) + (cos(x1) * -1.0237454))"
18,0.038080506,"(cos(x1 + -0.02818438) * (x0 * sin((x0 * x0) + (cos(x1) * -1.0240551)))) * -1.0251315"
19,0.03748834,"(((x0 * cos(cos(x0) - ((x1 * x1) * 2.0925128))) * x0) + -0.87647766) * (x0 * -0.8320837)"
22,0.03665099,"(cos(x1) * ((((x0 * x0) * cos(cos(x0) - ((x1 * 1.9303757) * x1))) + -0.8868441) * -0.88183945)) * x0"
23,0.03556124,"(x0 * -0.9324265) * sin(((x0 * cos((cos(x0) - (x1 * sin(x1 + x1))) * -1.7007618)) * x0) + -0.7384529)"
24,0.0335502,"(x0 * sin(((x0 * x0) * cos(((cos(x0) - (x1 * x1)) - (x1 * x1)) * -1.7007618)) + -0.7384529)) * -0.9324265"
25,0.033227585,"(x0 * -0.9324265) * sin(((x0 * x0) * cos(((cos(x0) - (x1 * sin(x1))) - (x1 * x1)) * -1.7007618)) + -0.7384529)"
26,0.03288756,"sin(2.3131604 + ((cos((cos(x0) - sin(sin((x1 * x1) - (x1 * (-2.1178849 * x1))))) * -1.4999796) * x0) * x0)) * x0"
27,0.032460745,"sin((((cos((cos(x0) - sin((x1 * x1) - (x1 * (x1 * -1.4661875)))) * -1.6403029) * x0) * x0) + -0.7627082) * -0.99015164) * x0"
28,0.031891644,"(sin((cos((cos(x0) - sin(sin((x1 * x1) - (x1 * (x1 * -1.762247))))) * -1.7545551) * (x0 * x0)) + 2.4634628) - -0.068402685) * x0"
30,0.03187886,"(x0 * sin(((x0 * (x0 * cos((cos(x0) - sin(sin((x1 * x1) - ((x1 * -1.6851794) * x1)))) * -1.771695))) + -0.7494221) * -0.97891873)) - 0.008687064"
