Complexity,Loss,Equation
1,0.0053501944,"x1"
3,0.005333483,"x1 * 0.9972439"
5,0.005333278,"(x1 * 0.99724084) + -0.00045241287"
6,0.00532215,"x1 * cos(x0 * -0.07194387)"
7,0.0053056953,"cos(sin(x1) * -0.14080445) * x1"
8,0.0053014355,"x1 * cos(sin(sin(x1)) * -0.16300885)"
9,0.0052939663,"cos((sin(x1) * -0.14080445) * x0) * x1"
10,0.004995104,"x1 - (sin((x1 - x0) * -6.0959234) * -0.026905237)"
12,0.004411946,"((x0 * -0.03247523) * sin((x0 * -4.671003) * x1)) + x1"
14,0.004199272,"(0.044076983 * sin((sin(x1) + (sin(x1) - x0)) * 6.154341)) + x1"
17,0.0040709437,"(((cos(x1) + 0.54927075) * sin(((x1 + x1) - x0) * -3.715093)) * -0.050053265) + x1"
18,0.0040025916,"x1 + ((sin(((x1 + sin(x1)) - x0) * -3.7235677) * (cos(x1) + 0.5496749)) * -0.050909117)"
21,0.00387224,"x1 + (sin(((x1 + x1) - x0) * -4.9348364) * ((sin(x1 - (x0 * -1.3594648)) * x0) * 0.051443633))"
23,0.0037978739,"(((sin(((x1 - x0) + x1) * -4.9352217) * x0) * sin((x1 + (x0 - 2.417964)) * -1.3548664)) * 0.051542997) + x1"
28,0.0035782459,"((x0 * ((sin(x1 * 2.3429127) * (cos(x1 - (x0 * -2.4558923)) + -1.4525005)) * 0.050060295)) * sin(((x1 - x0) + x1) * -2.473685)) + x1"
29,0.0035572015,"x1 + ((sin((x1 + (x1 - x0)) * -2.4639425) * sin(x0 * sin(x1 + x1))) * ((cos((x0 * -2.2881987) - x1) + -1.3272996) * 0.07400719))"
