Complexity,Loss,Equation
1,10.1782055,"0.10346144"
3,8.287925,"x0 * -0.93599886"
4,7.941022,"x1 * cos(x0)"
6,5.7792344,"cos(x0 * 1.764282) * x1"
7,4.2184215,"(1.0460551 - (x0 * x0)) * x1"
8,2.445959,"((cos(x0) + -0.5717719) * 4.9375734) * x1"
9,2.184253,"((-0.9693569 - (x0 * x1)) * x0) + x1"
10,0.3049016,"((x1 * (cos(x0) + -0.5746703)) * 5.017699) - x0"
11,0.2542575,"((x1 * 5.837962) * (sin(cos(x0)) + -0.51017356)) - x0"
13,0.25293347,"((x1 * 6.282017) * (sin(cos(x0 * -0.95947975)) + -0.53606015)) - x0"
15,0.25095963,"((x1 * (sin(cos(x0)) + -0.5103452)) * (cos(cos(x1)) + 5.1277285)) - x0"
17,0.24445967,"((sin(cos(x0)) + -0.51113796) * (x1 * (cos(cos(x1 * -0.8354636)) + 5.110777))) - x0"
18,0.24445243,"(((-0.51113796 + sin(cos(x0))) * x1) * (cos(cos(x1 * sin(1.0116601))) + 5.110777)) - x0"
19,0.22836924,"(((x1 * (cos(x0) + -0.59024304)) * 4.841986) - x0) - (x0 * ((x1 * 0.3657622) * sin(x1)))"
20,0.22006437,"((0.22568606 - sin(sin(x1) * x1)) * x0) + (((x1 * 4.719661) * (cos(x0) + -0.5973028)) - x0)"
21,0.20482829,"((((cos(x0) + -0.5946197) * x1) * 4.7820864) - (x0 * 0.8826206)) - (((x1 * x0) * 0.47091094) * sin(x1))"
22,0.20327596,"(x0 * (0.13647263 - sin((x1 * 0.5629385) * sin(x1)))) + ((x1 * ((cos(x0) + -0.5942338) * 4.77532)) - x0)"
23,0.2026935,"((((cos(x0) + -0.59366095) * x1) * 4.787299) - x0) + (x0 * (0.15041082 - sin(sin((x1 * 0.6503904) * sin(x1)))))"
24,0.20256743,"(((cos(x0) + -0.59442836) * (x1 * 4.7746344)) - x0) + (x0 * (0.13834912 - sin((x1 * -0.57280284) * sin(0.05195406 - x1))))"
25,0.20007877,"((cos(x0) + -0.5936714) * (x1 * 4.785566)) + (((-0.8423005 - sin(sin((sin(0.123985216 - x1) * -0.6902573) * x1))) * x0) + 0.0504454)"
