Complexity,Loss,Equation
1,0.0065076225,"0.033340506"
4,0.00546778,"cos(x1) * 0.076689385"
5,1.7702332e-12,"x0 - (x0 * x1)"
7,1.5789572e-12,"(x0 - (x1 * x0)) * 0.9999951"
9,1.4468812e-12,"(x0 - ((x0 * x1) + -4.8057746e-7)) * 0.9999943"
12,1.44242e-12,"((sin(x0) * -1.5617225e-5) + 1.0000045) * (x0 - (x0 * x1))"
13,1.2664203e-12,"(x0 - (x1 * x0)) * cos(0.004978546 * sin(x1 + x0))"
14,1.0104637e-12,"((sin(x0 + x1) * -3.295487e-5) + 1.0000194) * (x0 - (x0 * x1))"
15,9.628429e-13,"((((1.9273341 - x0) * x0) * -3.110114e-5) + 1.0000157) * (x0 - (x0 * x1))"
17,9.626587e-13,"(x0 - (x0 * x1)) * ((((x0 + -0.0013402986) * (1.9273341 - x0)) * -3.0870695e-5) + 1.0000156)"
20,9.605941e-13,"(x0 - (x1 * x0)) * (((1.9273341 - x0) * (3.1205647e-5 * (sin(-1.0032388 - x1) * x0))) + 1.0000157)"
21,9.60594e-13,"(sin((sin(-1.0032388 - x1) * ((1.9273341 - x0) * 3.1205647e-5)) * x0) + 1.0000157) * (x0 - (x1 * x0))"
23,9.567517e-13,"((((x0 + ((x0 * (x0 * x0)) * -0.012318034)) * (1.9273341 - x0)) * -3.0870695e-5) + 1.0000156) * (x0 - (x0 * x1))"
25,9.492403e-13,"(x0 - (x0 * x1)) * ((((1.9273341 - x0) * (x0 + ((((x0 * x0) - x0) * x0) * -0.096742064))) * -3.0870695e-5) + 1.0000156)"
27,9.398172e-13,"(x0 - (x1 * x0)) * ((((1.9273341 - x0) * -3.0466039e-5) * (x0 + ((x0 - (x1 + 0.75781417)) * ((x0 * -0.096742064) * x0)))) + 1.0000162)"
29,9.386742e-13,"(x0 - (x0 * x1)) * ((((1.9273341 - x0) * (x0 + (x0 * (x0 * (-0.096742064 * (x0 - (x1 + cos(sin(x0))))))))) * -3.0466039e-5) + 1.0000162)"
