Complexity,Loss,Equation
1,2.4113391e-5,"x1"
3,2.4101984e-5,"x1 * 0.9998851"
5,2.4101202e-5,"(x1 * 0.9997882) - -9.600951e-5"
6,2.4092527e-5,"cos(x1 * 0.017526858) * x1"
7,2.40363e-5,"((x1 * -0.0040225387) - -1.0038594) * x1"
8,2.39644e-5,"(x1 * 0.7222022) - sin(x1 * -0.28130746)"
9,2.3903618e-5,"sin(cos(0.45281243 - x1) + 0.67627186) * x1"
10,2.3316927e-5,"sin(cos(sin(x1)) + 0.8164658) * (x1 - -0.003588842)"
11,1.9723151e-5,"cos((cos(x1 - -0.5803762) * x0) * 0.28148976) * x1"
13,1.2576878e-5,"(0.9982377 - ((((x0 * -0.99769545) * x1) + x0) * -0.03732725)) * x1"
15,1.2561398e-5,"x1 * (1.0083194 - ((0.25778323 - ((x1 * (x0 * -0.9974263)) + x0)) * 0.039192505))"
17,1.0940255e-5,"(((0.3779881 - ((((x0 * x1) * -0.9998896) + x0) * x1)) * -0.04406506) - -1.0164307) * x1"
18,9.892533e-6,"(cos(cos((x0 + (x1 * (x0 * -0.9985679))) + sin(x1)) * -0.31646392) * 1.0214335) * x1"
19,9.456654e-6,"(1.0260991 - ((0.5594686 - (((x0 + (x0 * (x1 * -0.99819225))) * x1) * x1)) * 0.049464814)) * x1"
20,9.015812e-6,"(1.0131679 - ((cos(x1) - (x1 * (x0 + (((x0 * -0.99803627) * x1) * x1)))) * 0.026059946)) * x1"
22,8.912762e-6,"x1 * (1.0083193 - ((cos(x1) - (x1 * (((x1 * x0) * (x1 * (x1 * -0.99652016))) + x0))) * 0.017375221))"
23,8.712121e-6,"(0.9989234 - ((0.3770306 - (x1 * x1)) * ((((x1 * ((x0 * -0.9978394) * x1)) + x0) * 0.04151567) + 0.00020602206))) * x1"
24,8.484434e-6,"(0.99867 - ((sin(x0 + (x0 * (x1 * ((x1 * x1) * -0.99547243)))) * -0.018357402) * ((x1 * x1) * x1))) * x1"
25,8.394895e-6,"(0.99942666 - (((0.37691563 - ((x1 * x1) * x1)) * (x1 * 0.04052203)) * (x0 + (x0 * (x1 * (x1 * -0.99886453)))))) * x1"
26,8.374316e-6,"(0.9990003 - ((((0.37750357 - x1) * sin(x0 + (x1 * ((x0 * (x1 * -0.9965408)) * x1)))) * (0.028493838 * x1)) * x1)) * x1"
27,8.281695e-6,"(0.9992964 - ((0.37746876 - ((x1 * x1) * x1)) * ((x1 * 0.028705299) * (x0 + ((x0 * ((x1 * x1) * -0.9973247)) * x1))))) * x1"
28,8.140485e-6,"(0.99917126 - ((x1 * x1) * ((0.37743577 - (x1 * x1)) * (sin(x0 + ((x1 * x1) * (-0.9969486 * (x0 * x1)))) * 0.03018406)))) * x1"
30,8.079309e-6,"x1 * (0.9991456 - ((x1 * (sin(x0 + (((x0 * -0.99686116) * x1) * (x1 * x1))) * x1)) * ((x1 * (0.3774476 - (x1 * x1))) * 0.030203843)))"
