Complexity,Loss,Equation
1,0.0065076225,"0.033340424"
4,0.005467819,"cos(x1) * 0.07668531"
5,0.0006705325,"x1 * (1.0063586 - x1)"
6,0.00032364967,"sin(x1 * 3.1325212) * 0.34291717"
7,0.0002612535,"((x1 * -1.3175648) + 1.319986) * x1"
8,0.00024031213,"x1 * (sin(x1 + -1.0015081) * -1.3907014)"
9,0.000232722,"(x1 * -1.4524081) * sin(sin(x1 + -1.0012628))"
10,0.00010039204,"((x1 * sin(x1 * 3.4269428)) * 0.41706207) - -0.118804514"
11,9.766061e-5,"sin(((x1 * sin(x1 * 3.4206185)) * 0.42647958) - -0.11880282)"
12,9.229211e-5,"(((x1 - -0.24029143) * sin(x1 * 3.369419)) * 0.3242268) - -0.092499994"
13,7.792975e-5,"((x1 + 0.394775) * sin(sin((x1 + -1.000869) * 2.64846))) * -0.42976663"
14,7.697792e-5,"(x1 + 0.39886445) * sin(sin(sin((x1 + -1.0008097) * 2.6490166)) * -0.43439373)"
15,5.7563662e-5,"(x1 + 0.18725392) * (sin((sin(x0) + 1.8344206) * (x1 + -1.0014067)) * -0.4885811)"
16,5.621541e-5,"sin((x1 + 0.18353719) * (sin((x1 + -1.0012699) * (sin(x0) + 1.8393369)) * -0.49797294))"
17,5.446353e-5,"sin(sin((x1 + 0.1623827) * sin((x1 + -1.0004535) * (sin(x0) + 1.8485885))) * -0.53770864)"
18,3.7754115e-5,"sin((x1 + -1.0026451) * (((x0 * -0.15445235) + 2.1022472) + x1)) * ((x1 + 0.20240958) * -0.48108363)"
19,3.5696306e-5,"sin((x1 + 0.1968269) * (-0.49225503 * sin((x1 + -1.0025189) * ((x1 + (x0 * -0.15616363)) + 2.1014943))))"
20,3.0047864e-5,"sin(sin((x1 + 0.18356447) * sin(((x0 * -0.154276) + (x1 + 2.113232)) * (x1 + -1.0011003)))) * -0.5454747"
21,2.9394816e-5,"sin(sin(sin((x1 + 0.1781986) * sin((x1 + -1.0016347) * ((x1 + (x0 * -0.155993)) + 2.1135676))) * -0.54065293))"
23,2.9063183e-5,"sin(sin(sin(sin(((x1 + ((x0 + -0.5211471) * -0.16040017)) + 2.102538) * (x1 + -1.0015574)) * (x1 + 0.19861609)) * -0.5211471))"
26,2.8532135e-5,"sin(sin((x1 + -1.0027137) * (sin(sin(x1) * x0) + 2.2093434)) * (-0.4200839 * (sin(x1 + (x1 * (x0 * 0.20051841))) + 0.25146762)))"
27,2.7020562e-5,"sin(sin(sin((x1 + -1.0025904) * (sin(x0 * sin(x1)) + 2.2096062)) * ((sin(x1 + (x1 * (x0 * 0.20228012))) + 0.25518143) * -0.4255995)))"
28,2.4671515e-5,"sin(((sin(((x0 * 0.2080948) * x1) + x1) + 0.23642159) * sin(((x1 * sin(sin(x1) * x0)) + 2.21197) * (x1 + -1.0027155))) * -0.4412909)"
29,2.4101913e-5,"sin(sin(((sin(((x0 * 0.20941246) * x1) + x1) + 0.23088482) * -0.45089915) * sin(((x1 * sin(sin(x1) * x0)) + 2.2164934) * (x1 + -1.0024481))))"
30,2.327464e-5,"sin(sin((sin((x1 * x0) * (x1 * sin(x1))) + 2.217879) * (x1 + -1.0019794)) * ((sin((x1 * (x0 * 0.20422547)) + x1) + 0.22453415) * -0.4561756))"
