Complexity,Loss,Equation
1,8.668435e-9,"x1"
3,8.537024e-9,"x1 * 0.99998385"
5,8.535011e-9,"(x1 * 0.9999838) - 1.4005617e-6"
7,8.53173e-9,"(x1 * 0.99998367) + (x0 * -3.2701867e-6)"
9,8.529411e-9,"(x0 * -3.3665972e-6) + ((x1 * 0.9999836) - 1.5182454e-6)"
10,8.526642e-9,"(x1 - (cos(x1 + x1) * 5.8603277e-6)) * 0.99998385"
11,8.5237115e-9,"(x1 * 0.99998355) + ((x0 * 4.587599e-6) * (-0.7699933 - x0))"
12,8.522021e-9,"(x1 - ((x0 * 4.5921206e-6) * (cos(x1) + x0))) * 0.9999836"
13,8.51991e-9,"(x1 + ((x0 * (x0 - -0.7763164)) * (x0 * -5.802817e-6))) * 0.9999836"
14,8.518909e-9,"0.9999837 * (x1 - ((4.4417825e-6 * x0) * (cos(x1 + x1) + x0)))"
15,8.518028e-9,"x1 + (cos(1.0961944 - (sin(x1 - (x0 * -0.21790826)) * 2.2435184)) * -1.48666995e-5)"
16,8.5107805e-9,"x1 + (cos(-1.4812335 - (((x0 * -0.30317715) - x1) * (x0 + 1.7365781))) * -1.6528798e-5)"
17,8.50814e-9,"(cos(-1.2590764 - (((x0 * -0.21790826) - sin(x1)) * (x0 + 2.0095897))) * -1.6567572e-5) + x1"
18,8.507926e-9,"(cos(-1.2601198 - (((x0 * -0.29977563) - sin(sin(x1))) * (x0 + 1.8512379))) * -1.6778586e-5) + x1"
19,8.504229e-9,"x1 + (cos(-1.2590764 - ((x0 + 1.8512379) * sin(((x1 + x0) * -0.42504412) - x1))) * -1.6778586e-5)"
21,8.503748e-9,"x1 + (-1.6778586e-5 * cos((sin((-0.8520994 * ((x1 + x0) * 0.43982285)) - x1) * (x0 + 1.8512379)) - -1.2601198))"
22,8.5025595e-9,"x1 + (cos((sin(sin((((x0 * 0.43982285) + x1) * -0.8520994) - x1)) * (x0 + 1.8512379)) - -1.2601198) * -1.6778586e-5)"
23,8.495884e-9,"x1 + (cos((sin((x0 * (-1.025816 * (x1 + 0.43982285))) - (x1 + x1)) * (x0 + 1.8512379)) - -1.2601198) * -1.7682802e-5)"
24,8.495028e-9,"x1 + (cos((sin((x0 * (-1.025816 * (x1 + 0.43982285))) - (x1 + sin(x1))) * (1.8512379 + x0)) - -1.2601198) * -1.7682802e-5)"
26,8.495018e-9,"x1 + (cos(-1.2601198 - (sin(((x0 * ((x1 + 0.43982285) * -1.025816)) + (x1 * -0.9916662)) - sin(x1)) * (x0 + 1.8512379))) * -1.7682802e-5)"
29,8.494721e-9,"x1 + (cos((sin((((x0 * (0.43982285 + x1)) * (-0.8520994 - 0.17371652)) + sin(x1 * -1.6999894)) - sin(x1)) * (x0 + 1.8512379)) - -1.2601198) * -1.6778586e-5)"
30,8.4943315e-9,"x1 + (cos(((x0 + 1.8512379) * sin(sin(((x0 * (cos(x0) + x1)) * (-0.8520994 - x1)) + (x1 * -1.6999894)) - sin(x1))) - -1.2601198) * -1.6778586e-5)"
