Complexity,Loss,Equation
1,4.6504207,"-0.029863995"
2,3.588181,"sin(x1)"
3,1.0607521e-6,"x1 * 0.99986285"
5,1.0606742e-6,"(x1 - 8.670297e-6) * 0.9998628"
7,1.060227e-6,"((x0 * -3.061977e-5) + x1) * 0.9998624"
8,1.0572691e-6,"(x1 * (-0.00016150883 * cos(x0))) + x1"
10,1.0571985e-6,"(((x1 * -0.00016150883) - -1.08972545e-5) * cos(x0)) + x1"
11,1.05686e-6,"((x0 * (x0 * -0.00012251725)) + (x1 * 0.9998623)) - -5.9959755e-5"
12,1.0544445e-6,"(x1 + (x0 * ((x0 - sin(x0)) * -0.0004944782))) * 0.9998621"
13,1.0523717e-6,"((x0 * ((0.8693408 - (x0 * x0)) * 0.00022166276)) + x1) * 0.9998622"
14,1.0511285e-6,"((0.9000836 + x0) * (-0.00047282 * (x0 - sin(x0)))) + (x1 * 0.9998614)"
15,1.0478199e-6,"(((x0 * x0) * ((x0 * (x0 * -0.00027167902)) - -0.0002877926)) + x1) * 0.99986213"
16,1.0464332e-6,"(((cos(x0 * 1.6559168) * (x0 + 0.66819304)) * (x0 * 0.0002994621)) + x1) * 0.9998617"
17,1.0406418e-6,"((((x0 - -0.9886033) * ((x0 * x0) - 0.9998536)) * (x0 * -0.00023686574)) + x1) * 0.9998616"
18,1.0400075e-6,"((x0 * ((x0 * cos(-1.4872952 * x0)) * 0.00037333192)) * (0.50484425 + x0)) + (x1 * 0.9998624)"
19,1.032584e-6,"(x0 * (((((x0 * x0) - 1.1457568) * (-1.2044848 - x0)) * 0.00023962007) * x0)) + (x1 * 0.9998614)"
20,1.0300531e-6,"((cos(x1) * (((x0 + 0.6916433) * x0) * 0.00047538674)) * (1.1091877 - (x0 * x0))) + (x1 * 0.9998617)"
21,1.02598e-6,"((x0 * (((x0 * x0) - 1.2588459) * (-1.8547673 - x0))) * ((x0 * 0.00016544542) * x0)) + (x1 * 0.99986154)"
22,1.0162134e-6,"((((x0 + 1.0126984) * (x0 * (1.1898003 - (x0 * x0)))) * cos(x1)) * (x0 * 0.00044148494)) + (x1 * 0.9998614)"
24,1.0053062e-6,"(x1 * 0.9998615) + ((((((x0 * x0) - 1.2588459) * (-1.5243783 - x0)) * (cos(x1) * (x0 * 0.00032934037))) * x0) * x0)"
26,9.967473e-7,"((sin(x1 - 2.0308821) * (0.00070642977 * (x0 * (x0 - -1.3402196)))) * (sin(x0) - sin(x0 * (x0 * x0)))) + (x1 * 0.9998655)"
27,9.922912e-7,"(x1 * 0.9998628) + ((x0 * (((((x0 * x0) - 1.3208729) * cos(x1)) * (-0.8658856 - x0)) * x0)) * ((cos(x1) * 0.00055722264) * x0))"
28,9.646678e-7,"(((((sin(x0) - sin((x0 * x0) * x0)) * sin(x1 - 2.0308821)) * x0) * (x0 - -1.3402196)) * (0.0008561742 * x0)) + (x1 * 0.99986637)"
30,9.514684e-7,"((((sin(x1 - 2.0308821) * 0.00070642977) * (x0 * (x0 - -1.0768884))) * (x0 * x0)) * (sin(x0) - sin((x0 * x0) * x0))) + (x1 * 0.9998655)"
