Complexity,Loss,Equation
1,38.614853,"0.028688626"
3,0.35301822,"x0 * -8.25281"
4,0.011622071,"sin(x0) * -9.805443"
6,0.011619774,"(0.000154413 - sin(x0)) * 9.805437"
8,6.57501e-7,"((x1 * -0.00509621) - sin(x0)) * 9.808565"
10,6.57325e-7,"(x1 * -0.049986556) + (sin(1.7610764e-6 - x0) * 9.808565)"
12,5.273381e-7,"((x0 * -0.005129177) + (x1 * -0.049988866)) - (sin(x0) * 9.8025255)"
14,5.2537814e-7,"(x1 * 0.95001113) + ((sin((x0 * 0.00029336163) - x0) * 9.810486) - x1)"
15,5.1027627e-7,"(x1 * 0.9500168) + ((sin(x0) * ((cos(x1) * -0.0008892166) - 9.808443)) - x1)"
16,4.8207005e-7,"((sin(x0) * ((x1 * (x1 * 0.00020703673)) - 9.809167)) + (x1 * 0.95001894)) - x1"
18,4.818196e-7,"(((((x1 - -0.065683946) * (x1 * 0.00020693363)) - 9.809165) * sin(x0)) + (x1 * 0.95001876)) - x1"
20,4.6838665e-7,"((x1 * -0.04998164) + ((((x1 * x1) + 5.9810786) * 0.00021893794) * sin(sin(x0)))) - (sin(x0) * 9.810331)"
22,4.4387806e-7,"((x1 * -0.057118647) - (sin(x0) * 9.804806)) - (((x0 * (x1 * -6.883001e-5)) + -0.0035783984) * ((x1 - x0) + x1))"
24,4.415354e-7,"((x1 * 0.9475084) - (sin(x0) * 9.805918)) - (x1 + ((x1 - x0) * (((x0 + x1) * (x0 * -0.0001437111)) + -0.002508155)))"
25,4.4103606e-7,"((x1 * 0.9475078) - (sin(x0) * 9.805919)) - (x1 + ((x1 - x0) * ((sin(x0) * (-0.00014458617 * (x0 + x1))) + -0.002508723)))"
29,4.4007777e-7,"((x1 * 0.9475058) - (sin(x0) * 9.805922)) - (((-0.0025104824 + ((((x1 + x0) * x0) * -0.00015197894) * cos(x0 * 0.55283946))) * (x1 - x0)) + x1)"
30,4.4007618e-7,"((x1 * 0.9475058) - (sin(x0) * 9.805922)) - (((-0.0025104824 + (((x1 + x0) * (x0 * -0.00015197894)) * cos(x0 * sin(-0.5891285)))) * (x1 - x0)) + x1)"
