Complexity,Loss,Equation
1,38.614853,"0.029469062"
3,0.3737891,"x0 * -8.247853"
4,0.02542766,"sin(x0) * -9.804321"
6,0.02539783,"sin(x0 + -0.00072006363) * -9.804273"
8,0.013111618,"(sin(x0) * -9.807648) - (x1 * 0.05146012)"
9,0.013111145,"sin(x1 * -0.051652174) + (sin(x0) * -9.807621)"
10,0.013091018,"(x1 * -0.05144258) - (sin(x0 + -0.00059823354) * 9.807614)"
12,0.013086667,"(sin(x0) * -9.868189) + (((x0 - x1) * 0.051409557) + 0.003814815)"
14,0.013084505,"(-8.286044 * sin(x0 - (x0 * -0.06521011))) - (x0 - (x1 * -0.051429685))"
15,0.013080786,"((((x0 - x1) * -0.00579799) + sin(x0)) * -8.868217) - sin(x0 - 0.0058479817)"
16,0.013063416,"(sin(x0 - (0.0007367081 - (x0 * 0.06520918))) * -8.286044) - (x0 - (x1 * -0.051429518))"
17,0.013062899,"(sin((x0 - 0.00073907734) - (x0 * -0.065203406)) * -8.286077) - (x0 - sin(x1 * -0.051627256))"
18,0.013057527,"((sin(x0 - (0.0008949479 - (x0 * 0.127823))) * -3.8477347) - (x0 - (x1 * -0.027920391))) * 1.8421923"
19,0.0130500365,"(x1 * -0.05162212) - (((0.3996818 - sin(x0 * (3.621687 - x0))) * -0.013541441) + (sin(x0) * 9.804107))"
21,0.01303428,"((x1 * -0.051438756) - (sin(x0) * 9.807827)) + (((x0 - 1.8879972) * (0.39967138 - sin(x0 * 4.410496))) * -0.0059779384)"
23,0.013033407,"(x1 * -0.051436458) - ((sin(x0) * 9.808217) + ((x0 - 2.0987427) * ((0.44074467 - sin((x0 * 4.6379766) - -0.11035266)) * 0.0053057754)))"
