Complexity,Loss,Equation
1,38.614853,"0.028284572"
3,0.4479299,"x0 * -8.238287"
4,0.098767415,"sin(x0) * -9.793473"
6,0.098694175,"sin(x0 * 1.0069038) * -9.748946"
8,0.0871,"(sin(x0) * -9.796663) + (x1 * -0.050031267)"
10,0.08706418,"(((x1 - x0) * 0.0050807833) + sin(x0)) * -9.855644"
12,0.08705313,"((sin(x0) * -9.9112015) - (x1 * 0.04999011)) - (x0 * -0.09722055)"
13,0.08702476,"(sin(x0) * -9.791081) + (((cos(x1) * x0) + x1) * -0.049460538)"
14,0.08692947,"(sin(x0) * -9.791081) + (((cos(x1) * sin(x0)) + x1) * -0.049460538)"
15,0.086790405,"(((x1 - sin(x0 * (x1 - 1.8779917))) * 0.0049988157) + sin(x0)) * -9.776342"
16,0.086742826,"-9.776342 * (sin(x0) + (0.0049988157 * ((cos(x0 * x1) * sin(x0)) + x1)))"
17,0.08673655,"-9.776342 * (sin(x0) + (0.0049988157 * ((cos(x0 * x1) * sin(sin(x0))) + x1)))"
18,0.08665375,"(((x1 - sin((x1 - (1.2257452 + cos(x0))) * x0)) * 0.0049988157) + sin(x0)) * -9.776342"
19,0.08663938,"(((x1 + sin(sin((cos(x0) - (x1 - 1.2257452)) * x0))) * 0.0049988157) + sin(x0)) * -9.776342"
20,0.086608745,"(((x1 - sin((x1 - (1.2257452 + cos(x0 * x0))) * x0)) * 0.0049988157) + sin(x0)) * -9.776342"
22,0.08657961,"(((x1 + sin(x0 - ((x1 - (cos(x0 + x0) + 1.2257452)) * x0))) * 0.0049988157) + sin(x0)) * -9.776342"
23,0.08656323,"(((x1 + sin(x0 - ((x1 - (cos(x0 + x0) + cos(0.05666665))) * x0))) * 0.0049988157) + sin(x0)) * -9.776342"
24,0.08655954,"-9.776342 * (((x1 + sin(sin(sin(x0) - ((x1 - (cos(x0 + x0) + 1.2257452)) * x0)))) * 0.0049988157) + sin(x0))"
27,0.08653033,"(((x1 + sin(sin(sin((x0 - (x0 - (cos(x1 * x0) + cos(x1 * x1)))) * x0)))) * 0.0049988157) + sin(x0)) * -9.776342"
28,0.08652653,"(((x1 + sin(sin((sin(x0) - (x0 - (cos(x0 * x1) + cos(x1 * x1)))) * sin(x0)))) * 0.0049988157) + sin(x0)) * -9.776342"
