Complexity,Loss,Equation
1,2.059954e-9,"x1"
3,2.001482e-9,"x1 * 0.99998"
5,2.0013347e-9,"(x1 - 3.656194e-7) * 0.99998"
6,2.0011641e-9,"x1 - (sin(x1) * 2.1051033e-5)"
7,2.000912e-9,"x1 - (2.2005011e-5 * sin(sin(x1)))"
8,1.9271464e-9,"x1 * (0.9999101 - (cos(x0) * -0.00010248846))"
9,1.926398e-9,"((x0 * (x0 * -4.4892455e-5)) - -1.0000111) * x1"
10,1.925728e-9,"x1 * (0.99989045 - (sin(sin(cos(x0))) * -0.00015729247))"
12,1.9256454e-9,"(x1 * (0.9998903 - (sin(sin(cos(x0))) * -0.00015749563))) - 3.0504305e-7"
17,1.9252118e-9,"(((x0 * ((x1 * ((x1 * x1) - 0.25946695)) + x0)) * -4.4924232e-5) - -1.0000104) * x1"
19,1.9250554e-9,"(x1 * ((((x1 * ((x1 * x1) - 0.25946695)) + x0) * (x0 * -4.4924232e-5)) - -1.0000104)) - 3.873466e-7"
20,1.9250344e-9,"(x1 * ((((x1 * ((x1 * sin(x1)) - 0.25946695)) + x0) * (x0 * -4.4924232e-5)) - -1.0000104)) - 3.873466e-7"
24,1.925032e-9,"((x0 * ((x0 + ((x0 + (sin(x1) * ((x1 * x1) - 0.25946695))) - x0)) * -4.4924232e-5)) - -1.0000104) * (x1 - 3.873466e-7)"
