Complexity,Loss,Equation
1,5.87729e-5,"x1"
3,5.8737314e-5,"x1 - -0.00018999628"
5,5.87013e-5,"(x0 * 0.00028811902) + x1"
7,5.8666563e-5,"((x1 * 0.0014863964) + 1.0002453) * x1"
9,5.8646317e-5,"x1 - (x0 * ((x0 * -0.00023710179) + -0.00025473518))"
10,5.8642505e-5,"x1 - (x0 * ((sin(x0) * -0.00030707527) + -0.0002522508))"
11,5.8607577e-5,"x1 - ((x0 * -0.00028054803) + ((x1 * -0.001450423) * x1))"
12,5.855249e-5,"x1 + (x1 * (0.0018652466 * sin((x1 + -0.6688559) * -7.593832)))"
14,5.8332516e-5,"x1 + ((x1 * 0.002654192) * sin((x1 + -2.195646) * (x1 * 6.0205336)))"
15,5.8330992e-5,"x1 + ((x1 * 0.002654192) * sin(sin((x1 + -2.195646) * (x1 * 6.0205336))))"
18,5.7971007e-5,"x1 + ((x1 * 0.002654192) * sin((x1 + -2.195646) * ((x1 + -2.195646) * (x1 * 6.0205336))))"
20,5.7714384e-5,"((x1 * sin((((x1 + -2.2129467) * (x1 + -2.2129467)) * (x1 * 6.027611)) + 6.021053)) * 0.004217009) + x1"
22,5.7684665e-5,"(x1 * (sin(((x1 + -2.2081838) * (((x1 + -2.2081838) * x1) * 6.025839)) + 6.021575) * 0.004403964)) + (x1 * 0.9995447)"
