Complexity,Loss,Equation
1,0.00037133272,"x1"
3,0.00037000424,"x1 * 0.9970023"
5,0.00037000098,"(x1 * 0.997008) - -5.731414e-5"
6,0.0003690906,"cos(x1 * -0.15251291) * x1"
8,0.0003684492,"x1 * cos((x1 * x1) * -0.2523251)"
9,0.00036819864,"cos(x1 - sin(sin(sin(x1)))) * x1"
10,0.00036793988,"cos(-0.09536583 - ((x1 * x1) * -0.472521)) * x1"
11,0.00036790076,"cos((x1 * (x1 * 0.37195915)) * cos(x0)) * x1"
12,0.00036750594,"x1 * cos((x1 * 0.27199623) * ((x0 * -0.19829571) - x1))"
13,0.0003668553,"x1 * cos(x1 * ((x1 * (x1 * cos(x0))) * x1))"
14,0.00036638943,"x1 * cos(x1 * ((x1 - (x0 * -0.21701923)) * (x1 * 0.4572291)))"
15,0.00036570764,"cos(((x1 * x1) * (x1 * x1)) * cos(x1 - x0)) * x1"
16,0.000365242,"x1 * cos((x1 * (x1 - (x0 * -0.28600758))) * (x1 * (x1 * x1)))"
17,0.00036403257,"x1 * cos((cos(x0) * ((x1 - (x0 * -0.38379937)) * x1)) * (x1 * x1))"
18,0.00036400568,"cos(x1 * (((x1 * x1) * ((sin(x0) * 0.4392184) + x1)) * cos(x0))) * x1"
19,0.00036270174,"x1 * cos(((x1 * x1) * x1) * (-1.2804486 * (cos(x0) * (x1 - (x0 * -0.35878754)))))"
20,0.00036258015,"cos((((sin(x0) * -0.3975276) - x1) * (x1 * ((x1 * -1.2964655) * cos(x0)))) * x1) * x1"
21,0.00036158256,"cos(cos(x0) * (x1 * ((x1 * (((x0 * -0.38529152) - x1) * (x1 + x1))) * x1))) * x1"
22,0.00036152476,"cos(((((x1 + x1) * x1) * x1) * (cos(x0) * x1)) * (x1 - (sin(x0) * -0.39716855))) * x1"
23,0.00036093083,"x1 * cos((x1 * (x1 * ((x1 * x1) * -3.2463753))) * (((x0 * -0.437735) - x1) * (cos(x0) * x1)))"
24,0.00035964692,"cos(cos(x0) * (x1 * (((x1 * x1) * (x1 * -3.1068099)) * (((x0 * -0.41183838) - x1) * cos(x0))))) * x1"
25,0.0003592089,"(x1 * cos((x1 * (x1 * ((x1 * x1) * -3.7121794))) * ((((x0 * -0.41804612) - x1) * cos(x0)) * x1))) * 1.0039474"
27,0.0003586745,"cos(((((x1 * x1) * (x1 * (x1 - (x0 * -0.4887488)))) * cos(((-0.52798057 * x0) - x1) * x0)) + -0.034789704) * -1.9344676) * x1"
29,0.00035731593,"cos((2.1616793 * (((x1 * (x1 - (x0 * -0.4887488))) * (x1 * x1)) + -0.034789704)) * cos((x1 - ((x0 + x1) * -0.52798057)) * x0)) * x1"
30,0.00035708197,"cos(cos((((x0 + sin(x1)) * -0.5289934) - x1) * x0) * ((((x1 - (x0 * -0.48535135)) * (x1 * (x1 * x1))) + -0.041965086) * 2.10336)) * x1"
