Complexity,Loss,Equation
1,0.17947422,"-0.004567496"
3,0.15347257,"x0 * -0.17359042"
4,0.11734384,"sin(x0) - x0"
6,0.045766927,"sin(x0 * 1.9617863) - x0"
8,0.04210771,"(cos(x0 * x0) + -0.53600156) * x0"
9,0.04186528,"((sin(cos(x0)) + -0.52887094) * x0) * 2.335212"
11,0.039950266,"x0 * ((cos(x0 * x0) * cos(x1)) - 0.5108608)"
12,0.039889395,"((cos(sin(x1)) * cos(x0 * x0)) - 0.5133568) * x0"
13,0.039124828,"x0 * ((cos((x0 * x0) * -1.071924) * cos(x1)) - 0.43987843)"
14,0.03839881,"(cos(-1.068815 - (cos(x1) * cos(x0 * x0))) * -1.1637093) * x0"
17,0.037896585,"cos(-1.0601903 - (cos(x0 * x0) * cos(x1))) * ((x0 * -0.39878643) - sin(x0))"
19,0.037367623,"((x0 * -0.23274378) - x0) * (cos(x1) * cos(-1.0705491 - (cos(x1) * cos(x0 * x0))))"
21,0.034922026,"cos(cos(x1) * (-1.0596546 - cos(x0 * cos((x1 * -2.3393476) * x1)))) * ((x0 * -1.565663) - x0)"
22,0.033310074,"((x0 * -1.5326443) - x0) * cos((-1.0581841 - cos(cos((x1 * x1) * 2.0921602) * x0)) * cos(sin(x1)))"
23,0.03320733,"((x0 * -1.5326443) - x0) * sin(cos((-1.0581841 - cos(cos((x1 * x1) * 2.0921602) * x0)) * cos(sin(x1))))"
24,0.033070046,"((x0 * -1.6105753) - x0) * sin(sin(cos(cos(sin(x1)) * (cos(cos(x1 * (x1 * 2.0998359)) * x0) - -1.0583353))))"
25,0.0329955,"((x0 * -1.632256) - x0) * sin(sin(sin(cos(cos(sin(x1)) * (cos(cos(x1 * (2.0921602 * x1)) * x0) - -1.0581841)))))"
27,0.0329583,"(0.07201182 + ((-1.632256 * x0) - x0)) * sin(sin(sin(cos((cos(cos((x1 * x1) * 2.0921602) * x0) - -1.0581841) * cos(sin(x1))))))"
28,0.03286855,"(x0 * (-1.5748512 - cos(x1))) * sin(cos(cos(sin(x1)) * (cos(x0 * cos(x1 * (x1 * (x1 - (x1 * -2.2726817))))) - -1.0620666)))"
29,0.03221576,"sin(sin(cos((-1.0653586 - cos(x0 * cos((x1 * x1) * (x1 - (x1 * -2.2890666))))) * cos(sin(x1)))) * (-1.8720216 - cos(x1))) * x0"
