Complexity,Loss,Equation
1,10.1782055,"0.103435315"
3,8.269083,"x0 * -0.94114864"
4,7.903612,"x1 * cos(x0)"
6,5.74064,"cos(x0 * 1.7585837) * x1"
7,4.1120048,"x1 * (1.0480331 - (x0 * x0))"
8,3.0218651,"(cos(x0 * -1.6745983) * x1) * 2.6243458"
9,2.076653,"(x1 * (1.0345633 - (x0 * x0))) - x0"
10,0.9627867,"((x1 * cos(x0 * -1.6753435)) * 2.650717) - x0"
11,0.041796166,"((x1 * (1.0046128 - (x0 * x0))) * 1.9893911) - x0"
13,0.041767694,"((((0.003658345 - (x0 * 1.9892007)) * x0) - -1.9984771) * x1) - x0"
15,0.0417414,"(x1 * ((((x1 * 0.0008390305) - (x0 * x0)) * 1.9892964) - -1.9985343)) - x0"
16,0.041364744,"((1.9859574 - (x0 * ((x0 * 1.9826609) - (sin(x1) * -0.028893797)))) * x1) - x0"
18,0.041363955,"(((1.9859618 - (x0 * ((x0 * 1.9826516) - (sin(x1) * -0.028865218)))) * x1) - x0) - -0.00089229224"
19,0.04132176,"((1.9988006 - ((x0 * x0) * (1.9853367 - sin(cos(x1 * x0) * 0.018542042)))) * x1) - x0"
20,0.04109789,"((1.9863114 - (cos((x0 * -1.9292083) * x1) * -0.03529317)) * ((1.0043452 - (x0 * x0)) * x1)) - x0"
22,0.040117316,"((1.0095017 - (x0 * x0)) * (x1 * (2.0021024 - ((sin((x0 * x0) * x1) * 0.025335547) * x1)))) - x0"
23,0.04011667,"((1.0095041 - (x0 * x0)) * (x1 * (2.00212 - (sin(x1 * 0.025379973) * sin(x0 * (x0 * x1)))))) - x0"
24,0.039768584,"((1.0045379 - (x0 * x0)) * (x1 * (1.9978095 - (x1 * ((sin((x0 + x1) * x0) * x0) * 0.019528009))))) - x0"
26,0.039404236,"((1.9960027 - (x1 * (((sin((x1 * x0) * x0) * x0) * x0) * 0.01358334))) * ((1.0039967 - (x0 * x0)) * x1)) - x0"
27,0.039325405,"((1.9978095 - (sin(x0) * (sin((x0 * x0) * x1) * ((x1 * x0) * 0.02316865)))) * ((1.0045379 - (x0 * x0)) * x1)) - x0"
28,0.039246146,"(((1.9875491 - (x0 * (sin((((x0 * 2.768834) - x1) + x1) * (x1 * x0)) * 0.039923616))) * (1.0051812 - (x0 * x0))) * x1) - x0"
29,0.038392223,"(((1.0020404 - (x0 * x0)) * (1.9724153 - (sin(x1 * sin(x0 * (((x0 * -0.5863301) - (x1 + 0.015492734)) * x0))) * 0.078102335))) * x1) - x0"
