Complexity,Loss,Equation
1,10.1782055,"0.10331294"
3,8.287925,"x0 * -0.9359317"
4,7.941022,"cos(x0) * x1"
6,5.7792344,"cos(x0 * 1.764282) * x1"
7,4.2184215,"x1 * (1.0459945 - (x0 * x0))"
8,3.166472,"cos(x0 * -1.6789289) * (x1 * 2.5848968)"
9,2.1839387,"(x1 * (1.0327083 - (x0 * x0))) - x0"
10,1.1255894,"((x1 * cos(x0 * 1.6776427)) * 2.6128385) - x0"
11,0.25874057,"(x1 * (((x0 * x0) * -1.9594147) + 1.9653897)) - x0"
13,0.25866336,"((x1 * ((x0 * (x0 * -1.9592737)) + 1.9653208)) - -0.00878604) - x0"
15,0.2586595,"(x1 * (1.965264 - ((x0 + -0.00066833786) * (x0 * 1.9591947)))) - (x0 - 0.008834703)"
16,0.25614902,"(x0 * ((x0 * -1.5718223) * x1)) - (x0 - (x1 * (cos(x0) + 1.0018642)))"
18,0.25605237,"(((x0 * (x1 * -1.5716537)) * x0) - (x0 - ((cos(x0) + 1.0017753) * x1))) - -0.009830841"
20,0.2557935,"(((x0 + 0.040509716) * (x1 * -1.5742315)) * x0) - (x0 - ((sin(x0 + 1.4775627) + 1.0064033) * x1))"
21,0.25297612,"(x1 * ((((1.5917455 - (x0 * x0)) * 1.8682061) + -1.2436985) - (cos(x1 - sin(x0)) * 0.24210398))) - x0"
22,0.24677894,"(x1 * ((-1.2503498 - (0.23914173 * cos(x0 - (x1 - 0.20596132)))) + ((1.5956242 - (x0 * x0)) * 1.8691835))) - x0"
23,0.2425076,"(x1 * (((1.5917455 - (x0 * x0)) * 1.8682061) + (-1.2436985 - (cos(x1 - (sin(x0) * 1.4202547)) * 0.24210398)))) - x0"
25,0.22945374,"((((sin(x1) + (x0 + x0)) * x1) * x0) * -0.41450155) - (x0 - ((sin((x0 + 1.2358608) * -1.2680647) * x1) * -1.957522))"
26,0.22797059,"((((x0 + (sin(sin(x1)) + x0)) * x1) * -0.415976) * x0) - (x0 - ((x1 * -1.9750202) * sin((x0 + 1.2372475) * -1.2670226)))"
27,0.20619446,"(((sin(x1) + x0) + x0) * (x1 * (x0 * -0.41450155))) - ((x0 * 0.8964731) - (sin((x0 + 1.2358608) * -1.2680647) * (x1 * -1.957522)))"
29,0.20581864,"((x0 + ((x0 + 0.12764153) + sin(x1))) * ((x1 * -0.4146648) * x0)) - ((x0 * 0.8940388) - (sin((x0 + 1.208783) * -1.2691569) * (x1 * -1.955816)))"
30,0.20091255,"(((((sin(x1) + sin(x1)) + (x0 + x0)) * x1) * x0) * -0.31608656) - ((x0 * 0.8413081) - ((sin((1.0922638 - x0) * -1.4428658) * -1.9585464) * x1))"
