Complexity,Loss,Equation
1,0.0065076225,"0.033340424"
4,0.005467781,"cos(x1) * 0.07668058"
5,1.7702332e-12,"x0 - (x1 * x0)"
7,1.5789572e-12,"(x0 - (x0 * x1)) * 0.9999951"
9,1.4599047e-12,"((x0 + 3.3464949e-7) - (x1 * x0)) * 0.9999937"
11,1.4561366e-12,"((-1.12579455e-5 - (x0 * x1)) + (1.1592595e-5 + x0)) * 0.9999937"
12,1.4421936e-12,"(x0 - (x1 * x0)) * ((sin(x0) * -1.5582631e-5) - -1.0000044)"
13,1.3694257e-12,"(x0 + (((x1 * -2.1824376e-6) - -2.3176515e-6) - (x0 * x1))) * 0.99998987"
14,9.800839e-13,"((sin(x0 * -1.6869017) * 2.936594e-5) + 1.0000155) * (x0 - (x1 * x0))"
17,9.626261e-13,"(x0 - (x0 * x1)) * (((x0 - 0.9652572) * ((x0 - 0.9652572) * 3.0807936e-5)) + 0.999987)"
18,9.62626e-13,"(x0 - (x0 * x1)) * (sin((x0 - 0.9652572) * ((x0 - 0.9652572) * 3.0807936e-5)) + 0.999987)"
21,9.62122e-13,"(((x0 - cos(sin(x0) * -0.342424)) * ((x0 - 0.9581683) * 3.0936248e-5)) + 0.999987) * (x0 - (x1 * x0))"
22,9.597e-13,"(x0 - (x0 * x1)) * (((x0 - 1.3402387) * (((x0 - 0.5752114) * cos(x0 * -0.20703341)) * 3.372468e-5)) + 0.9999915)"
24,9.596696e-13,"(x0 - (x0 * x1)) * ((((x0 - 1.3402387) * ((x0 - 0.5752114) * cos(0.007512516 - (x0 * -0.20703341)))) * 3.372468e-5) + 0.9999915)"
