Complexity,Loss,Equation
1,0.0065076225,"0.033340655"
4,0.005467819,"cos(x1) * 0.07668572"
5,0.0006705325,"x1 * (1.0063586 - x1)"
6,0.0005601284,"sin(x1 * -3.169982) * -0.3014789"
7,0.0002612535,"x1 * ((1.0018375 - x1) * 1.3175734)"
8,0.00024031213,"(x1 * 1.3906978) * sin(1.0015098 - x1)"
9,0.000232722,"(x1 * 1.4524137) * sin(sin(1.0012628 - x1))"
10,0.0001290137,"(x1 * (0.7889241 - (x1 * sin(x1)))) - -0.054457407"
11,9.8742144e-5,"((x1 * 0.7704462) * (0.9184437 - (x1 * x1))) - -0.06446071"
12,9.011548e-5,"sin(0.7546429 - ((x1 * x1) * 0.75330764)) * (x1 - -0.09760574)"
13,8.253796e-5,"(sin(sin(0.73972744 - ((x1 * 0.8118595) * x1))) * x1) - -0.07333815"
14,7.96735e-5,"(x1 * sin(sin(sin(0.75082815 - (x1 * (x1 * 0.8276534)))))) - -0.077823006"
15,7.16464e-5,"sin(sin(sin((x1 - 3.4928591) * (0.8427017 - (sin(x1) * x1))))) * -0.43252185"
16,5.8465113e-5,"sin(sin((0.8440582 - (x1 * sin(x1))) * ((x0 * 0.17840725) - 3.3574533))) * -0.3918082"
17,5.2995394e-5,"sin(sin(sin((0.84371895 - sin(x1 * x1)) * ((x0 * 0.17163971) - 3.402069)))) * -0.44073546"
18,4.9580387e-5,"sin(sin((0.84460855 - (x1 * sin(x1))) * (((x1 + x0) * 0.17477794) - 3.38448))) * -0.39361882"
19,4.7558184e-5,"sin(sin(sin((((x1 + x0) * 0.15714246) - 3.4175782) * (0.84388137 - sin(x1 * x1))))) * -0.4409692"
20,4.631008e-5,"sin(sin(sin(sin((((x1 + x0) * 0.17477763) - 3.3860283) * (0.84480256 - (x1 * sin(x1))))) * -0.4042368))"
21,4.475384e-5,"sin(sin(sin(sin(sin((0.84412295 - (x1 * sin(x1))) * (((x1 + x0) * 0.17281608) - 3.398281))) * -0.411471)))"
22,4.34991e-5,"sin(((0.84345394 - (x1 * sin(x1))) * ((x1 * (0.845536 - sin(x0 * x1))) - 2.0824738)) * 1.6320597) * -0.32482013"
23,3.99886e-5,"sin(((0.84360486 - (sin(x1) * x1)) * (((0.8465943 - sin(x0 * sin(x1))) * x1) - 2.0804603)) * 1.6351116) * -0.32562113"
24,3.8867667e-5,"sin(((((0.8465943 - sin((x0 * x1) * 0.90814704)) * x1) - 2.0804603) * 1.6351116) * (0.84360486 - (sin(x1) * x1))) * -0.32562113"
25,3.803389e-5,"sin(((0.8433067 - (x1 * sin(x1))) * (((0.8471974 - (sin(x0 * sin(x1)) * 1.1390624)) * x1) - 2.0806386)) * 1.6349853) * -0.3230855"
26,3.597495e-5,"sin((0.8431861 - (x1 * sin(x1))) * ((((0.8469625 - (sin((x0 * 0.7492722) * x1) * 1.2284702)) * x1) - 2.0824926) * 1.631648)) * -0.32414004"
27,3.4908822e-5,"sin((((0.8469625 - (sin(x0 * (x1 * sin(0.81080604))) * 1.2284702)) * x1) - 2.0824926) * ((0.8431861 - (x1 * sin(x1))) * 1.631648)) * -0.32414004"
28,3.2533982e-5,"sin((0.8433067 - (x1 * sin(x1))) * ((((0.8433067 - (sin(x0 * (x1 * sin(sin(x0)))) * 1.1390624)) * x1) - 2.0806386) * 1.6349853)) * -0.3230855"
29,3.174321e-5,"sin(-0.32500505 * sin(1.6347023 * (((x1 * (0.8477841 - ((sin(sin(x1) * x0) * 1.2677023) * sin(x0)))) - 2.0801957) * (0.84361273 - (sin(x1) * x1)))))"
