Complexity,Loss,Equation
1,0.0065076225,"0.033340424"
4,0.005471356,"cos(x1) * 0.07658868"
5,0.0007947238,"x1 * (1.0062158 - x1)"
7,0.00045499206,"(x1 * 1.2864792) * (1.0020354 - x1)"
8,0.0004528728,"(sin(1.0016917 - x1) * x1) * 1.3543931"
9,0.00040745724,"((1.1427732 - (x1 * 1.1782337)) * x1) + 0.038439196"
10,0.00036305242,"(x1 * sin((0.9661139 - x1) * 1.2569063)) - -0.045783468"
11,0.00031586608,"((1.0082697 - x1) * x1) * (1.3339001 - (x0 * 0.06406467))"
12,0.0002874853,"sin((1.0061818 - x1) * (1.5105362 - (x0 * 0.075295195))) * x1"
13,0.00028640815,"sin(((1.431734 - (x0 * 0.072103746)) * x1) * sin(1.0069376 - x1))"
14,0.00023871302,"(x1 - ((x0 * 0.044067603) - 0.04554908)) * sin((x1 + 1.297431) * 1.3638407)"
15,0.00018997566,"(x1 - ((x0 * 0.046580978) - 0.066139095)) * sin(sin((x1 + 1.204199) * 1.4219534))"
16,0.00016316814,"sin(sin(sin((x1 + 1.1665882) * 1.4469024))) * (x1 - ((x0 * 0.04898345) - 0.0920777))"
17,0.00015169803,"(x1 - ((x0 * 0.055904835) - 0.098578624)) * sin(sin(sin(sin((x1 + 1.0771264) * 1.5093375))))"
18,0.00013918866,"((x1 - ((x1 * x0) * 0.055750296)) - -0.075467885) * sin(sin(sin((x1 + 1.0738387) * 1.5118741)))"
19,0.00012214991,"sin(sin(sin(sin((x1 + 1.0784553) * 1.5086133)))) * (x1 - (((x1 * x0) * 0.05655819) - 0.097883575))"
20,0.00011985724,"sin(sin(sin(sin(sin((x1 + 1.0769686) * 1.5096785)))) * (x1 - (((x1 * x0) * 0.05655662) - 0.10196673)))"
21,0.00011920689,"sin(sin(sin((x1 + 1.2015517) * 1.4209241))) * (x1 - sin(((x1 * x1) * (x0 * 0.08968989)) - 0.080294326))"
22,0.00010301715,"(x1 - sin((((x1 * 0.08920171) * x1) * x0) - 0.10465395)) * sin(sin(sin(sin((x1 + 1.1987727) * 1.4229158))))"
29,0.000101148325,"sin(sin(sin(((x1 * 0.90126187) - (((x0 - (2.3793316 - x1)) - (sin(x0) * 1.6239555)) * 0.05010065)) * sin(sin(sin(sin((1.0035547 - x1) * 1.7010071)))))))"
