Complexity,Loss,Equation
1,1.1482665e-6,"x1"
3,1.0607523e-6,"x1 * 0.9998631"
5,1.0606741e-6,"(x1 + -8.908346e-6) * 0.9998628"
7,9.541067e-7,"x1 - exp(cos(x0) * -62.646877)"
9,8.6911325e-7,"(x1 * 0.99986225) - exp(cos(x0) * -65.48219)"
11,8.049104e-7,"(x1 * 0.99986213) - exp((cos(x0) * -126.87804) + 4.646109)"
12,8.033191e-7,"(x1 - exp(exp(x0) + (cos(x0) * -124.47997))) * 0.99986213"
13,7.570684e-7,"(x1 * 0.99986196) - exp(x1 + ((cos(x0) * -93.59263) + 2.5724988))"
14,4.92164e-7,"x1 - exp(((x1 * x1) + (0.101077594 - (x0 + -1.4391134))) * -78.03591)"
16,3.5005638e-7,"x1 - exp((((x1 * (49.3698 * x1)) + 0.10110726) - (x0 + -1.4391791)) * -74.90029)"
18,2.6254213e-7,"(x1 * 0.99986297) - exp(((((x1 * x1) * 60.777218) - (x0 + -1.4391831)) + 0.101109184) * -74.89003)"
