Complexity,Loss,Equation
1,0.0019192301,"x1"
3,0.0019186247,"x1 + -0.0007779512"
5,0.0019181031,"(x1 + -0.0007881591) * 0.99966514"
6,0.001917299,"(sin(x1) * 0.0019817324) + x1"
8,0.0019145465,"(x1 + (sin(x1) * 0.003397788)) * 0.99910486"
9,0.0019137926,"x1 * (((x1 * -0.00024213172) * x1) + 1.0016832)"
11,0.001913301,"(x1 * (((x1 * -0.00023806057) * x1) + 1.0016617)) - 0.00037043297"
12,0.0019123824,"(x1 * 0.9991044) + (((x0 * -0.0027335251) + 0.0033914556) * sin(x1))"
13,0.001912261,"(x1 + (((sin(x0) * -0.0033348643) + 0.0034023423) * sin(x1))) * 0.99910283"
14,0.0019117416,"0.9990934 * (((sin(x1) * ((x0 * -0.0033388867) + 0.0034243735)) + -0.0008549597) + x1)"
15,0.0019115305,"(sin(x1) * ((sin(x0) * -0.0033388394) + 0.003424373)) + ((x1 * 0.9990937) + -0.0008550306)"
16,0.0019108178,"x1 * (((-0.89842826 - ((x0 + -0.6746633) * x1)) * (sin(x1) * 0.0008898624)) + 0.999536)"
17,0.0019103597,"(x1 * 0.9992328) + ((exp((x1 * (-0.31229377 * x1)) * x0) * sin(x1)) * 0.002251251)"
19,0.0019096327,"((x1 * 0.9992328) + -0.00085358997) + (exp(((x1 * -0.31229377) * x1) * x0) * (sin(x1) * 0.002251251))"
22,0.0019092954,"(x1 * 0.99920654) + ((sin(x1) * (6.308901 - ((((exp(x0) + x0) + exp(x1)) * x0) + x1))) * 0.0006315301)"
24,0.0019091138,"(x1 * 0.99920654) + (sin(x1) * ((6.308901 - ((((exp(x0) + (x0 - x1)) + exp(x1)) * x0) + x1)) * 0.0006315301))"
26,0.0019091063,"(((6.308901 - (x1 + ((((exp(x0) + exp(x1)) - (x1 * 0.9112524)) + x0) * x0))) * 0.0006315301) * sin(x1)) + (x1 * 0.99920654)"
28,0.0019087906,"(x1 * 0.99915797) + (((6.308901 - (x1 + (((((exp(x0) + exp(x1)) + x0) - (x1 * 0.91125214)) + x0) * x0))) * 0.0007360964) * sin(x1))"
