Complexity,Loss,Equation
1,0.01168527,"x1"
3,0.011656668,"x1 * 0.9975226"
5,0.011654961,"(x1 + -0.0013099066) * 0.9975154"
7,0.0116542615,"((x1 * 0.00024870608) + 0.9975522) * x1"
8,0.011595441,"(exp(x1 * -2.1314263) * 1.1534239e-5) + x1"
9,0.011583862,"x1 * (1.005195 - (x1 * (x1 * 0.0009177806)))"
10,0.011579395,"x1 + ((exp(x1 * -1.9634374) * 2.266144e-5) - 0.0042177564)"
11,0.011571829,"(sin(x1) * (cos(x0) * 0.019724045)) + (x1 * 0.9951983)"
13,0.011569076,"(((cos(x0) * sin(x1)) * 0.019936854) + (x1 + -0.0016685565)) * 0.9951747"
14,0.011548892,"(0.9956832 * x1) + (sin(x1) * (exp(cos(x0) * 5.6635704) * 0.00011663145))"
16,0.011545802,"((x1 * 0.9956832) + (sin(x1) * (exp(cos(x0) * 5.6635704) * 0.00011663145))) + -0.0017575691"
18,0.011523829,"(sin(x1) * ((((exp(cos(x0)) * sin(x1)) - x1) * 0.016925002) * sin(x1))) + x1"
20,0.011511788,"x1 + ((sin(x1) * ((((sin(x1) * exp(cos(x0))) + -0.34237096) - x1) * sin(x1))) * 0.0168907)"
23,0.011500988,"x1 + ((sin(x1) * (((exp(cos(x0) + cos(x0)) * sin(x1)) - x1) - x1)) * (sin(x1) * 0.007013458))"
24,0.011497316,"((((sin(x1) * ((exp((0.8531769 + 0.8531769) * cos(x0)) * sin(x1)) - x1)) - 1.0686394) * 0.012873396) * sin(x1)) + x1"
25,0.011481563,"((((sin(x1) * ((exp((cos(x0) + 0.8531769) * cos(x0)) * sin(x1)) - x1)) - 1.0686394) * 0.012873396) * sin(x1)) + x1"
26,0.0114736175,"x1 + (((sin(x1) * ((exp((cos(x0) + cos(x0)) * cos(x0)) * sin(x1)) - x1)) - 0.9724203) * (sin(x1) * 0.0116054965))"
27,0.011460047,"((((cos(x0) + cos(x1)) * cos(x0)) * (((cos(x0) * -0.81128913) + (cos(x0) + -0.118468575)) * sin(x1))) + (x1 * 0.9956447)) + -0.001856734"
28,0.011459803,"x1 + ((sin(x1) * 0.011852444) * ((sin(x1) * ((exp(cos(x0) * (cos(x0) + cos(x0))) * sin(x1)) - (x1 + 0.5174575))) - 0.9773781))"
29,0.011454625,"((sin(x1) * 0.012290645) * ((sin(x1) * (((sin(x1) * exp((cos(x0) + cos(x0)) * cos(x0))) + -0.49919713) - x1)) - cos(x0))) + x1"
