Complexity,Loss,Equation
1,5.87729e-5,"x1"
3,5.8737318e-5,"x1 + 0.00018862255"
5,5.87013e-5,"x1 - (x0 * -0.00028811902)"
6,5.8670703e-5,"(exp(x0) * 0.00016037309) + x1"
7,5.8666566e-5,"((x1 * 0.0014858382) + 1.0002456) * x1"
8,5.8649977e-5,"(x0 * (exp(x0) * 0.00016952651)) + x1"
9,5.8645288e-5,"(x0 * (exp(sin(x0)) * 0.00021287604)) + x1"
10,5.8641177e-5,"x1 + ((x1 + (x0 * exp(x0))) * 0.00017182542)"
11,5.86076e-5,"((x0 + ((x1 * x1) * 5.102467)) * 0.00028261388) + x1"
13,5.859746e-5,"x1 + ((x0 + (x1 + ((x1 * x1) * 5.672176))) * 0.00026669793)"
14,5.8565354e-5,"(((x1 * x1) * 0.0022599497) + x1) + ((exp(x0) + -2.2617452) * 0.00027932206)"
16,5.855735e-5,"(((((x1 * (x1 * 5.4163656)) + exp(x0)) + x1) + -1.7201402) * 0.00030664873) + x1"
17,5.8546564e-5,"x1 + ((x0 + x1) * (0.00028204228 - ((((x1 * x0) - 0.21187097) * x1) * -0.0026684827)))"
18,5.851682e-5,"(exp(exp(exp(-1.1973649 - (x1 * 6.966001)) * 0.03383344) + (x1 + -1.8179405)) * 0.0002867933) + x1"
20,5.8493202e-5,"(exp(exp((exp(-1.1973649 - (x1 * 6.966001)) + 2.3558447) * 0.03383344) + (x1 + -1.8179405)) * 0.0002867933) + x1"
22,5.8459726e-5,"(exp(exp((exp(-1.1973649 - (x1 * 6.966001)) + 1.6250314) * 0.03383344) + ((x0 * x1) + -1.8179405)) * 0.0002867933) + x1"
24,5.8380578e-5,"((x1 * ((x1 * -0.075857855) * ((x1 + sin(x0)) * ((x1 * ((x1 + x1) + x1)) + -1.0524237)))) * 0.19378112) + x1"
25,5.838049e-5,"((x1 * ((x1 * -0.075857855) * ((x1 + sin(x0)) * ((x1 * ((x1 + x1) + x1)) + -1.0524237)))) * cos(-1.3767741)) + x1"
26,5.8308422e-5,"(x1 * ((x1 * -0.075857855) * (((x1 + sin(x0)) * ((x1 * (((-0.2353595 + x1) + x1) + x1)) + -1.0524237)) * 0.19378112))) + x1"
