Complexity,Loss,Equation
1,7.1016e-7,"x1"
3,7.0123343e-7,"x1 * 0.99993587"
5,7.0119194e-7,"(x1 - -6.319893e-6) * 0.99993587"
6,6.968046e-7,"x1 + (sin(x1) * 0.00020156801)"
7,6.903883e-7,"exp(cos(x1) * 0.0001247979) * x1"
8,6.7389266e-7,"(0.9998891 * x1) - (sin(x1) * -0.00031326892)"
10,6.6290266e-7,"x1 * (0.999963 - (x1 * (sin(x1) * -8.844664e-5)))"
12,6.6174994e-7,"x1 * (0.9999742 - (((x1 + x0) * sin(x1)) * -7.429561e-5))"
13,6.6152006e-7,"x1 - ((sin(x1) * exp((x1 * 0.18911988) * x1)) * -0.00010697786)"
15,6.588397e-7,"x1 - ((sin(x1) * -9.3842595e-5) * exp((x1 * (x0 + x1)) * 0.16165899))"
17,6.585851e-7,"x1 - (exp((((x0 * 1.3883303) + x1) * x1) * 0.15232171) * (sin(x1) * -8.991166e-5))"
19,6.5460193e-7,"(((sin(x0) * (cos(x1) + ((x1 * sin(x1)) + -0.506177))) + sin(x1)) * 0.00024914063) + x1"
23,6.53172e-7,"x1 + ((sin(x1) + (((sin(x1) * cos(x1)) + sin(x0)) * (cos(x1) + (x1 * sin(x1))))) * 0.00019563093)"
25,6.518599e-7,"((sin(x1) + (((x1 * sin(x1)) + (cos(x1) + -0.3056936)) * (sin(x0) + (cos(x1) * sin(x1))))) * 0.00019214454) + x1"
26,6.517994e-7,"((((cos(x1) + ((x1 - sin(x1)) * sin(x1))) * (sin(x0) + (cos(x1) * sin(x1)))) + sin(x1)) * 0.00019353481) + x1"
27,6.515347e-7,"(((((x1 * sin(x1)) + (cos(x1) + -0.3346012)) * (((cos(x1) * sin(x1)) - 0.10259539) + sin(x0))) + sin(x1)) * 0.00019214454) + x1"
28,6.5150596e-7,"((((cos(x1) + ((x1 - sin(x1)) * sin(x1))) * (((cos(x1) * sin(x1)) + sin(x0)) - 0.08036375)) + sin(x1)) * 0.00019353481) + x1"
29,6.5102523e-7,"x1 + (((sin(x1) + (((cos(x1) + -0.24521998) + (x1 * sin(x1))) * (sin(x0) + ((sin(x1) * cos(x1)) - 0.1268)))) * 0.00019411927) - -2.5183843e-5)"
30,6.510211e-7,"x1 + (((sin(x1) + (((cos(x1) + sin(-0.2627255)) + (x1 * sin(x1))) * (((sin(x1) * cos(x1)) - 0.1268) + sin(x0)))) * 0.00019411927) - -2.5183843e-5)"
