Complexity,Loss,Equation
1,0.00086125644,"x1"
3,0.00086110824,"x1 + 0.00038658592"
5,0.000860991,"(x1 + 0.00039326854) * 1.0002326"
6,0.0008607179,"(exp(x0) * 0.00021436435) + x1"
8,0.0008605369,"x1 + (exp(x0 * 2.4271388) * 1.8146695e-5)"
9,0.0008590154,"((sin(x1) * cos(x0)) * 0.004403416) + x1"
11,0.00082859,"x1 + (exp(x0 * exp(1.6401867 - x1)) * 1.4590408e-8)"
13,0.0008223324,"(1.3061805e-6 * exp(x0 - (exp(x0 + 1.1692779) * x1))) + x1"
14,0.00078925275,"(exp(((x0 * x1) * (x0 + 1.5206368)) * -5.574152) * 3.130829e-8) + x1"
16,0.0007796535,"(exp(((x0 * x1) * (x0 + 1.5206368)) * -5.574152) * 3.130829e-8) + (x1 - 0.0030987826)"
19,0.0007796531,"((exp(x1) + exp(-5.574152 * ((x0 * x1) * (x0 + 1.5206368)))) * 3.130829e-8) + (x1 - 0.0030987826)"
21,0.000771164,"((sin(x1) * 0.0030987826) + (exp((x1 * (x0 * (x0 + 1.5206368))) * -5.574152) * 3.130829e-8)) + (x1 - 0.0030987826)"
