Complexity,Loss,Equation
1,8.395394e-11,"x1"
3,8.392651e-11,"x1 + 1.47807e-7"
5,8.3012916e-11,"(x1 - -3.7737177e-6) * 0.99999595"
7,8.300454e-11,"(x1 * -4.022614e-6) + (x1 + 3.7656534e-6)"
8,6.194671e-13,"x1 + exp(-7.6025105 - (x1 * 3.2165592e6))"
10,5.9870625e-13,"(0.9999999 * x1) + exp(-7.6025114 - (x1 * 3.2165592e6))"
12,4.9685554e-13,"((x1 + 1.1479228e-6) * 0.9999986) + exp(-7.6040535 - (x1 * 3.1192135e6))"
14,4.9223386e-13,"((x1 + 1.1550887e-6) + exp(-7.6025114 - (x1 * 3.2165592e6))) + (-1.3875476e-6 * x1)"
18,4.765306e-13,"exp(-7.6025114 - (x1 * 3.2165592e6)) + ((x1 * -1.3875476e-6) + ((x1 + 1.1550887e-6) + (0.12311468 * -2.827273e-7)))"
19,4.5107578e-13,"(((x1 + 1.1550887e-6) + exp(-7.6025114 - (x1 * 3.2165592e6))) + (sin(x0) * -2.827273e-7)) + (x1 * -1.3875476e-6)"
27,2.8498704e-13,"((exp(((-7.645882 - (x1 * -7.645882)) + 2.4784765) - x0) * -2.6038633e-6) + (x1 + 1.6703437e-6)) + (exp(-7.645882 - (x1 * 3.2409835e6)) + (x1 * -1.6231603e-6))"
29,2.8497907e-13,"((exp(((-7.645882 - (x1 * -7.645882)) + 2.4784765) - x0) * -2.603775e-6) + ((x1 + 1.6703268e-6) + exp(-7.645882 - (x1 * (x0 * 3.2165592e6))))) + (x1 * -1.6231623e-6)"
