Complexity,Loss,Equation
1,0.00014612563,"x1"
3,0.00014603959,"x1 - -0.00029245697"
5,0.00014561666,"0.0027636609 - (x1 * -0.99728966)"
7,0.00014325918,"((x1 * -0.026250891) + 1.0260454) * x1"
8,0.00012756661,"sin(x1) * ((x1 * 0.2639291) + 0.923848)"
9,8.3475235e-5,"x1 + ((x0 * (1.0000052 - x1)) * 0.033912517)"
10,5.8286474e-5,"exp(((0.99995977 - x1) * 0.04867231) * x0) * x1"
11,5.6603247e-5,"x1 * ((x0 * ((1.0030532 - x1) * 0.049546324)) + 0.9972526)"
12,5.351211e-5,"exp(((1.0000917 - x1) * x1) * (x0 * 0.051402003)) * x1"
13,4.9217215e-5,"exp((0.9999568 - x1) * ((x0 - sin(x0)) * 0.05353574)) * x1"
15,4.839775e-5,"exp(((0.9999509 - x1) * (x0 + (sin(x0) * -1.4077879))) * 0.05181982) * x1"
16,4.825441e-5,"x1 * exp(((1.0000987 - x1) * (x0 - (sin(x0) * exp(0.37667978)))) * 0.053871326)"
17,4.7305286e-5,"x1 * exp(((x0 + (x1 - (sin(x0) * 1.9480957))) * (0.999948 - x1)) * 0.051191844)"
18,4.6744226e-5,"exp(((0.9999315 - x1) * 0.051447935) * ((x0 + x1) - (sin(x0) * exp(x1)))) * x1"
19,4.6007353e-5,"exp((1.0002353 - x1) * (((x0 + (x1 - (sin(x0) * 2.3701565))) * x1) * 0.05120788)) * x1"
20,4.501415e-5,"x1 * exp(((0.999967 - x1) * (x0 + (((x1 * x1) - sin(x0)) * exp(x1)))) * 0.047371507)"
21,4.3109805e-5,"x1 * exp((1.0001899 - x1) * (0.041523006 * ((x1 * (5.8916535 * (x1 - sin(x0)))) - (x1 - x0))))"
22,4.2971864e-5,"x1 * exp(((1.0001899 - x1) * 0.041523006) * (((x1 * (x1 - sin(x0))) * 5.8916535) - (sin(x1) - x0)))"
23,4.2185795e-5,"exp((((1.0002108 - x1) * x1) * (((x1 - sin(x0)) * 5.8916564) - (0.33614653 - x0))) * (x1 * 0.04209819)) * x1"
24,4.1840492e-5,"exp(((((1.0001899 - x1) * (((x1 - sin(x0)) * 5.8916535) - (cos(x0) - x0))) * 0.041523006) * x1) * x1) * x1"
25,4.150255e-5,"exp((x1 * (x1 * 0.041523006)) * (((((x1 * x1) - sin(x0)) * 5.8916535) - (-0.9999979 - x0)) * (1.0001899 - x1))) * x1"
26,4.130579e-5,"x1 * exp((1.0001899 - x1) * (x1 * ((x1 * 0.041523006) * (((x1 - sin(x0)) * 5.8916535) - (exp(x1 - x0) - x0)))))"
28,4.0712348e-5,"exp(((((5.8916736 * (x1 - sin(x0))) + 1.8298943) - (exp(exp(x1) - x0) - x0)) * ((1.0001432 - x1) * 0.047371507)) * sin(x1)) * x1"
30,3.9739036e-5,"exp(sin(x1) * ((((x1 - sin(x0)) * 5.8916736) + (1.8298943 - (exp(exp(x1) - x0) - x0))) * (x1 * ((1.0001432 - x1) * 0.047371507)))) * x1"
