Complexity,Loss,Equation
1,8.668435e-9,"x1"
3,8.537034e-9,"x1 * 0.99998385"
5,8.535011e-9,"(x1 * 0.9999838) + -1.4005805e-6"
7,8.53173e-9,"((x0 * -3.2735068e-6) + x1) * 0.99998367"
9,8.5277e-9,"(0.9999838 + (x1 * 7.5203607e-6)) * (x1 + -5.189035e-6)"
10,8.526644e-9,"(x1 + (cos(x1 + x1) * -5.865384e-6)) * 0.9999838"
11,8.52371e-9,"(x1 + (x0 * ((x0 + 0.7667189) * -4.6289806e-6))) * 0.9999836"
12,8.522022e-9,"((x0 * ((x0 + cos(x1)) * -4.579108e-6)) + x1) * 0.9999836"
13,8.519882e-9,"(x1 + ((x0 * ((x0 + 0.8304097) * x0)) * -5.643747e-6)) * 0.9999836"
14,8.513278e-9,"(x1 * 0.99998385) + (((x0 + 0.73751765) * cos(x1 * -2.2056618)) * -7.806328e-6)"
15,8.5105345e-9,"((((cos(x1) + x0) * -7.639181e-6) * cos(x1 * -2.4302227)) + x1) * 0.9999839"
16,8.505999e-9,"((-1.5099135e-5 * (x0 + cos(4.881614 * (x1 * (x0 + 0.5852894))))) + x1) * 0.99998367"
17,8.493797e-9,"(((cos((cos(x1) + x0) * (x1 * 3.924074)) + x0) * -1.5099135e-5) + x1) * 0.99998367"
18,8.481259e-9,"(x1 * 0.99998367) + ((x0 * -1.5099135e-5) * (x0 + cos(x1 * (4.881614 * (x0 + 0.5852894)))))"
19,8.479616e-9,"(x1 * 0.99998367) + ((x0 * -1.5099135e-5) * (x0 + cos(sin(x1) * (4.881614 * (x0 + 0.5852894)))))"
21,8.471037e-9,"(x1 * 0.99998367) + ((x0 + cos(x1 * (4.881614 * (x0 + 0.55244064)))) * (cos(x1 * 21.110155) * -1.5099135e-5))"
23,8.413493e-9,"(x1 * 0.99998367) + (((x0 + cos(x1 * 21.110155)) * -1.5099135e-5) * (x0 + cos(x1 * ((x0 + 0.55244064) * 4.881614))))"
25,8.406527e-9,"(x1 * 0.9999838) + (((cos((x1 * 4.881614) * (x0 + 0.517772)) + x0) * -1.9777803e-5) * (x0 + cos((x1 * -22.159864) + x1)))"
27,8.396072e-9,"((((x0 + ((x0 + x0) * cos(x1 * 33.860294))) * (x0 + cos((x0 + 0.4019712) * (x1 * -5.773775)))) * -1.41783e-5) + x1) * 0.9999837"
28,8.377083e-9,"((((x0 + ((cos(x1) + x0) * cos(x1 * 33.860294))) * (x0 + cos((x0 + 0.4019712) * (x1 * -5.773775)))) * -1.6048074e-5) + x1) * 0.9999837"
