Complexity,Loss,Equation
1,0.49637622,"0.032699995"
3,8.140216e-9,"x0 * -0.99998283"
5,8.137369e-9,"(x0 * -0.99998266) - -1.6342722e-6"
7,8.13487e-9,"(x1 * 3.2501619e-6) - (x0 * 0.99998266)"
9,8.13172e-9,"((x1 * 3.4033183e-6) - (x0 - 1.7550739e-6)) * 0.99998254"
10,8.130166e-9,"(((x1 + cos(x0)) * 3.0591486e-6) - x0) * 0.99998266"
11,8.127488e-9,"0.99998266 * (((x1 - -0.79467857) * (4.268164e-6 * x1)) - x0)"
12,8.126216e-9,"(((x1 * (x1 + cos(x0))) * 4.332297e-6) - x0) * 0.99998266"
14,8.123756e-9,"0.9999827 * ((x1 * ((x1 + cos(x0 + x0)) * 4.815189e-6)) - x0)"
15,8.122989e-9,"((cos(sin(x0) * (x1 + 2.1356173)) + x1) * 4.2680713e-6) - (x0 * 0.99998266)"
16,8.120986e-9,"((x1 * ((x1 + cos(x0)) * ((x0 + x1) * 5.308413e-6))) - x0) * 0.9999839"
17,8.112256e-9,"(2.0357831e-5 * cos(cos((-0.80352074 - x1) * (-0.80352074 - x0)) - (x0 - 0.59274995))) - x0"
18,8.111782e-9,"(cos(cos((x0 - -0.8220051) * (x1 - -0.8220051)) - (sin(x0) - 0.64564556)) * 1.9393538e-5) - x0"
20,8.11032e-9,"(cos((x0 - 0.64564556) - cos((x1 - sin(-0.96766174 - x0)) * (x0 - -0.80352074))) * 2.0357831e-5) - x0"
21,8.104922e-9,"(cos((x0 - 0.64564556) - cos((x1 - -0.79902107) * ((x0 * (x1 - -0.80352074)) - -0.80352074))) * 2.0357831e-5) - x0"
22,8.104004e-9,"(cos(cos((((x1 - sin(-1.2194098)) * x0) - -0.74178994) * (x1 - -0.80352074)) - (x0 - 0.64564556)) * 2.0357831e-5) - x0"
23,8.102264e-9,"(cos((x0 - 0.64564556) - cos((-0.80352074 - x1) * (-0.80352074 - ((x1 - (-0.1948087 - x1)) * x0)))) * 2.0357831e-5) - x0"
24,8.101311e-9,"(cos((x0 - 0.64564556) - cos((((x1 - (-0.4229843 - x1)) * x0) - sin(-0.80352074)) * (x1 - -0.80352074))) * 2.0357831e-5) - x0"
25,8.098884e-9,"0.9999824 * (((x1 * (7.2753237e-6 * (cos(((x0 + (x0 + x0)) - 0.47752172) * 1.9718742) + sin(x1)))) * (x1 + 0.8120681)) - x0)"
27,8.095237e-9,"(((x1 * (cos((0.47752172 - ((x0 + x0) + x0)) * 1.9718742) + sin(x1))) * 7.2753237e-6) * (x1 * (x1 + 0.8120681))) - (x0 * 0.9999824)"
29,8.094073e-9,"0.9999824 * ((((x1 * ((cos(((x0 + (x0 + x0)) - 0.47752172) * 1.9718742) + sin(x1)) * 7.2753237e-6)) * cos(x0)) * (x1 + cos(x0))) - x0)"
30,8.093771e-9,"0.9999824 * ((((x1 * ((cos((((x0 + x0) + x0) - (x1 * 0.47752172)) * 1.9718742) + sin(x1)) * 7.2753237e-6)) * cos(x0)) * (x1 + 0.9999824)) - x0)"
