Complexity,Loss,Equation
1,0.001251044,"x1"
3,0.0012487178,"x1 * 0.9978493"
5,0.001247167,"(x1 * 0.9977839) + -0.0012477972"
6,0.0012394923,"cos(x1 * -0.10938701) * x1"
7,0.00072712003,"cos(x0) * sin(x1 * 1.724219)"
8,0.00063298596,"cos(x0) * sin(sin(x1) * 1.8485857)"
10,0.00062953925,"cos(sin(x0) * 1.0387667) * sin(x1 * 1.5970176)"
11,0.00062882464,"cos(x0) * sin(x1 + (x1 * cos(cos(x0))))"
12,0.0006207349,"cos(x0 * 0.9343226) * sin((x1 * 0.66599673) + sin(x1))"
14,0.00062020647,"sin((x1 * 0.6659464) + sin(x1)) * cos((-0.0019731936 - x0) * 0.9344162)"
15,0.0006196184,"cos(x0 * 0.97964555) * sin((x1 * cos(cos(x0 * -0.8127424))) + x1)"
17,0.0006186334,"sin((cos(cos(x0 * sin(sin(x0)))) * x1) + x1) * cos(x0 * 0.9576385)"
18,0.0006181533,"sin(x1 + (cos(cos(sin(cos(cos(x0)) * x0))) * x1)) * cos(x0 * 0.9659697)"
19,0.00061705994,"cos(x0 * 0.96415067) * sin((x1 * 1.0343447) + (cos(cos((x0 * x0) * 0.71067446)) * x1))"
20,0.0006168965,"cos(0.96457094 * x0) * sin(1.0179996 * ((x1 * cos(cos(x0 * sin(0.7910633 * x0)))) + x1))"
21,0.0006168398,"(sin(((x1 * cos(cos(x0 * (x0 * 0.7116763)))) + x1) * 1.0259229) * cos(x0 * 0.9686371)) - 0.00044197845"
22,0.0006166259,"(cos(x0 * 0.96667475) * sin((x1 + (cos(cos(x0 * sin(x0 * 0.7916343))) * x1)) * 1.0210663)) - 0.00045736492"
23,0.000616136,"sin((x1 * cos(cos(x0 * sin(1.408268 - cos(x0))))) + (x1 * 1.0254319)) * cos((x0 * 0.97131366) - -0.0015834383)"
