Complexity,Loss,Equation
1,0.49637622,"0.032727055"
3,0.0012244608,"x0 * -0.9974208"
5,0.001223636,"(x0 * -0.9974839) - 0.0009080884"
6,0.0012092439,"sin(x0 * 0.35770354) * -2.8337395"
7,0.00070471544,"cos(x1) * sin(x0 * -1.7158309)"
8,0.0006153351,"sin(sin(x0) * -1.8363813) * cos(x1)"
10,0.0006140547,"sin(sin(x0 * 1.3485787)) * (-0.20864867 - cos(x1))"
12,0.00060947746,"(x0 * -0.15871243) - (cos(x1) * sin(sin(x0 * 1.5687275)))"
13,0.0006080379,"(sin(x0) * -0.189309) - (cos(x1) * sin(sin(x0 * 1.5022765)))"
14,0.00060794764,"sin(sin(x0) * -0.19046001) - (sin(sin(x0 * 1.5022775)) * cos(x1))"
15,0.00060193473,"cos(x1) * sin((x1 * ((x1 * -0.2798071) * x0)) - (x0 * 1.5518838))"
16,0.0006018586,"cos(x1) * sin((((x1 * sin(x0)) * x1) * -0.27914482) - (x0 * 1.5603644))"
17,0.0006006137,"sin(((((x0 * x1) * -0.278708) + 0.0037703575) * x1) - (x0 * 1.552283)) * cos(x1)"
18,0.00060060876,"cos(x1) * sin((x1 * ((x1 * sin(x0 * -0.27830803)) + 0.003532292)) - (1.552374 * x0))"
19,0.00059968705,"cos(x1) * sin((x1 * (((x0 * (0.031534456 + x1)) + -0.012664879) * -0.27996615)) - (x0 * 1.5518196))"
21,0.000599097,"(cos(x1) * sin(((x1 + 0.030344924) * (((x0 * x1) + -0.012688032) * -0.27883655)) - (x0 * 1.5528376))) + -0.00081306254"
23,0.0005984432,"(sin(((((x0 * x1) + -0.012501077) * -0.28168476) * (x1 + 0.0324707)) - (x0 * 1.5433176)) * (cos(x1) + 0.0016739551)) - 0.00083858904"
