Complexity,Loss,Equation
1,1.1482665e-6,"x1"
3,1.0607523e-6,"x1 * 0.99986285"
5,1.0606741e-6,"(x1 - 8.9083005e-6) * 0.9998628"
7,1.0602272e-6,"(x1 + (x0 * -3.0717354e-5)) * 0.9998628"
8,1.0572692e-6,"x1 - (cos(x0) * (x1 * 0.00016175272))"
10,1.0571987e-6,"(cos(x0) * ((x1 + -0.0634388) * -0.00016168004)) + x1"
11,1.0568604e-6,"(((x0 * -0.00012277374) * x0) + (x1 + 6.0190265e-5)) * 0.9998623"
12,1.0566409e-6,"x1 + ((((x0 * cos(x1)) * x0) + x1) * -0.00013582109)"
13,1.0534937e-6,"x1 + (((x0 * ((x0 * x0) + -0.7520285)) + x1) * -0.00014061457)"
14,1.0532148e-6,"(((x1 + (x0 * (x0 * x0))) - sin(x0)) * -0.00013474093) + x1"
15,1.0504239e-6,"x1 + (((x0 * (x0 * ((x0 * x0) + -0.7520285))) + x1) * -0.00014061457)"
16,1.0491185e-6,"(((((x0 * (x0 * x0)) * x0) * cos(x1)) + x1) * -0.00013728942) + x1"
17,1.0432938e-6,"((x1 + ((1.5047913 + x0) * ((x0 * (x0 * x0)) - x0))) * -0.00013474093) + x1"
18,1.0420777e-6,"((x1 + ((((x0 * x0) + x0) * (x0 * cos(x1))) * x0)) * -0.00013693473) + x1"
19,1.0356783e-6,"((x1 + ((x0 * (((x0 * x0) * x0) - x0)) * (x0 + 2.0468905))) * -0.00013474093) + x1"
20,1.0346791e-6,"((x1 + (x0 * (((x0 * x0) * (x0 * cos(x1))) * (x0 + 1.0409629)))) * -0.00013391743) + x1"
21,1.028504e-6,"((x1 + ((x0 * x0) * ((x0 + 1.2521794) * (x0 * ((x0 * x0) + -1.0688946))))) * -0.00014773465) + x1"
22,1.028259e-6,"x1 + ((x1 + (x0 * (((x0 * cos(x1)) * (((x0 * x0) + x0) * x0)) * x0))) * -0.0001266194)"
23,1.020128e-6,"((x1 + (((x0 * (x0 * (x0 * x0))) * (x0 - -1.2163426)) * ((x0 * x0) + -1.2163426))) * -0.0001489493) + x1"
24,1.0175447e-6,"((((((x0 * x0) + x0) * cos(x1)) * ((x0 * (x0 * (x0 * x0))) + -1.0688946)) + x1) * -0.00014773465) + x1"
25,1.0140068e-6,"x1 + (((((x0 * cos(x1)) * (x0 * (x0 * (x0 * (x0 + 1.8175251))))) * cos(x1 + x1)) + x1) * -0.00014694508)"
26,1.0060866e-6,"((x1 + (cos(x1) * ((x0 + (x0 * x0)) * ((((x0 * (x0 * x0)) * x0) + -1.7034808) * x0)))) * -0.00015009301) + x1"
27,9.991303e-7,"(((((x0 * x0) * (((x0 * x0) * (x0 + 1.7112193)) * cos(x1))) * (x0 * cos(x1 + x1))) + x1) * -0.00014391434) + x1"
28,9.941164e-7,"((cos(x1) * ((((((x0 * x0) * cos(x1 + x1)) * (cos(x1) + x0)) * (x0 * x0)) * x0) * -0.00021558364)) + x1) * 0.9998627"
29,9.847872e-7,"x1 + ((((x0 * ((x0 * cos(x1 + x1)) * cos(x1))) * ((x0 + 1.2144005) * ((x0 * (x0 * x0)) * x0))) + x1) * -0.0001431075)"
30,9.81956e-7,"(x1 + ((x0 * (x0 * (((x0 * cos(x1 + x1)) * cos(x1)) * (x0 + cos(x1))))) * ((x0 * (x0 * x0)) * -0.0001699043))) * 0.9998623"
