Complexity,Loss,Equation
1,38.614853,"0.028285809"
3,0.35301822,"x0 * -8.252824"
4,0.01162207,"sin(x0) * -9.805442"
6,0.011619774,"(sin(x0) * -9.805437) - -0.0015120917"
8,6.575018e-7,"(x1 * -0.049986593) + (sin(x0) * -9.808563)"
10,5.278172e-7,"(x1 * -0.049989976) + (sin(x0 * 0.9996979) * -9.810617)"
12,5.256254e-7,"((x1 * 0.95000625) + (sin(x0 * 0.99970216) * -9.81053)) - x1"
13,4.686407e-7,"(sin(x0 * cos(x1 * -0.0070074126)) * -9.809103) + (x1 * -0.04998294)"
14,4.6863946e-7,"(x1 * -0.04998294) + (sin(cos(sin(x1 * -0.0070074126)) * x0) * -9.809103)"
15,4.534591e-7,"(x1 * -0.049981903) + (sin((cos(x1 * 0.0066524963) * 0.9999455) * x0) * -9.8093815)"
17,4.4069785e-7,"(x1 * 0.9500143) + ((cos(-0.005808486 * x1) * (-9.810071 * sin(x0 * 0.99983805))) - x1)"
18,4.4069682e-7,"(x1 * 0.9500143) + ((cos(sin(-0.005808486 * x1)) * (sin(0.99983805 * x0) * -9.810071)) - x1)"
19,4.4004236e-7,"((x1 * 0.9500088) + ((sin(x0 * 0.9998276) * -9.810017) * (cos(x1 * -0.005715055) + 1.401463e-5))) - x1"
24,4.3989098e-7,"(((cos(x1 * (x0 * 0.0026194488)) * -9.81006) * sin((x0 * 0.9998407) * cos(x1 * 0.005944882))) - x1) + (x1 * 0.95001745)"
28,4.3970124e-7,"((-9.81006 * (cos(((x1 * x1) * x0) * (-0.0010339479 * x0)) * sin(0.9998362 * (x0 * cos(x1 * 0.0059454245))))) - x1) + (x1 * 0.9500176)"
