Complexity,Loss,Equation
1,38.614853,"0.028365113"
3,0.3686368,"x0 * -8.248179"
4,0.024338929,"sin(x0) * -9.802405"
6,0.0243325,"sin(x0 * 1.0028588) * -9.781858"
8,0.013239752,"(sin(x0) * -9.805284) - (x1 * 0.048840508)"
10,0.013232519,"(sin(x0 + 0.0003575372) * -9.805312) - (x1 * 0.04901636)"
11,0.013232485,"(sin(x0 + 0.0003575372) * -9.805312) - (x1 * sin(0.04901636))"
13,0.013222273,"(sin(x0) * -9.805247) - ((x1 * 0.04887188) - (cos(x1) * 0.0058595072))"
14,0.0132222725,"(sin(x0) * -9.805244) - ((x1 * 0.04887195) - sin(cos(x1) * 0.0058485116))"
15,0.013219246,"(sin(x0) * -9.805233) - ((x1 * 0.049403653) - (cos(x1 + -0.50342447) * 0.006620556))"
16,0.013218748,"(sin(x0) * -9.805237) - ((x1 * 0.04942546) - (sin(cos(x1 + -0.51842475)) * 0.0076299873))"
17,0.013217229,"(-9.805247 * sin(x0)) - ((x1 * 0.048864417) - (0.0061498447 * sin(x1 - (x0 * x1))))"
18,0.013208331,"(sin(x0) * -9.807817) - ((x1 * 0.04956911) - (0.010250989 * cos(x1 - cos(x0 * x1))))"
19,0.013196538,"(sin(x0) * -9.810318) - ((x1 * 0.049488287) - (cos(x1 - (0.8689964 + (x1 * x0))) * 0.01119435))"
20,0.013195977,"(sin(x0) * -9.810318) - ((x1 * 0.049488287) - (0.01119435 * sin(cos(x1 - (0.8689964 + (x1 * x0))))))"
21,0.013185191,"(sin(x0) * -9.807783) - ((x1 * 0.050064255) - (sin(((1.4450669 - x0) + -0.6654974) * (x1 - x0)) * 0.012463154))"
24,0.013179855,"(sin(x0) * -9.810279) - ((x1 * 0.050099224) - (sin(x1 - ((((x1 * 0.69529265) - x0) * x0) + cos(x1))) * 0.012583568))"
25,0.013178896,"(sin(x0) * -9.810279) - sin((x1 * 0.050099224) - (sin(x1 - ((((x1 * 0.69529265) - x0) * x0) + cos(x1))) * 0.012583568))"
30,0.013175779,"(sin(x0) * -9.810279) - ((x1 * 0.050099224) - sin(sin(x1 - (((((x1 * 0.69529265) - (x0 * cos(x1))) - x0) * x0) + cos(x1))) * 0.012583568))"
