Complexity,Loss,Equation
1,0.17947422,"-0.0045674965"
3,0.15344262,"x0 * -0.17379549"
4,0.11707938,"sin(x0) - x0"
6,0.040422264,"sin(x0 + x0) - x0"
8,0.0361412,"x0 * cos((x0 * x0) + 0.601504)"
9,0.035108123,"x0 * ((x0 * (x0 * -0.88110703)) + 0.8422654)"
10,0.033690576,"x0 * (cos((x0 * x0) + 0.14964817) + -0.41585675)"
12,0.027710859,"x0 * cos(cos(cos(x2 * 0.4828108)) + (x0 * x0))"
13,0.021378566,"cos((x0 * x0) + sin(cos(cos(x2 * 0.48346034)))) * x0"
14,0.011798228,"x0 * cos((x0 * (cos(cos(x2 * -0.71913135)) * x0)) + 0.786222)"
15,0.0086713685,"x0 * cos(cos(cos(sin(x2 * 0.71961427))) * ((x0 * x0) + 1.1766416))"
17,0.007903381,"cos(((x0 * x0) + 1.4636754) * (cos(cos(sin(x2 * 0.7196872))) * -0.88303345)) * x0"
19,0.007855232,"x0 * (cos(((x0 * x0) + 1.4315547) * (cos(cos(sin(x2 * -0.7206066))) * -0.8668832)) + -0.051196273)"
21,0.0077875685,"x0 * (cos((cos(cos(sin(-0.011218442 - (x2 * -0.7202012)))) * -0.88479376) * ((x0 * x0) + 1.3615292)) + -0.060354788)"
23,0.0077871704,"(x0 * (cos(((x0 * x0) + 1.3712472) * (cos(cos(sin(-0.008569248 - (x2 * -0.7200762)))) * -0.8838664)) + -0.05598161)) - 0.0015765992"
24,0.007555388,"cos(x1) * (cos((x0 * x0) + ((cos(sin(cos(x2 * 0.47716716))) * cos(cos(x2 * 0.7218045))) + -0.034209218)) * x0)"
26,0.0071403044,"(cos((x0 * x0) + (-0.034209218 + (cos(sin(cos(x2 * 0.47716716))) * cos(cos(0.7218045 * x2))))) * (cos(x1) * x0)) * 1.0373814"
30,0.0070476895,"(x0 * cos(x1 * cos(x0 * sin(x0)))) * cos(((x0 * x0) + (cos(sin(cos(x2 * 0.47720048))) * cos(cos(x2 * 0.7217865)))) + -0.03421651)"
