Complexity,Loss,Equation
1,0.49637622,"0.03268451"
3,8.140214e-9,"x0 * -0.99998283"
5,8.13732e-9,"(x0 * -0.9999827) - -1.660912e-6"
7,8.13487e-9,"(x0 - (x1 * 3.2501014e-6)) * -0.99998266"
8,8.131187e-9,"(x0 + (exp(x1) * -2.038839e-6)) * -0.99998254"
9,8.122902e-9,"(x0 - (1.7199612e-6 / (1.136334 - x1))) * -0.99998254"
12,8.115991e-9,"((x0 * -0.9999828) - -5.303025e-6) - (cos(-0.45105723 / x0) / 149397.58)"
14,8.077794e-9,"((x0 + -1.4509349e-5) * -0.9999828) - (cos(0.022066936 / (0.9866326 - x1)) / 68930.63)"
16,8.027306e-9,"(x0 * -0.99998266) - (5.073138e-6 - (exp(x1 / exp(cos(-0.4680196 / x0))) / 217040.6))"
17,8.022903e-9,"(x0 * -0.9999827) - ((exp(x1) - exp(x1 / exp(cos(-0.47951868 / x0)))) / 217040.6)"
18,7.9429565e-9,"(-0.9999827 * x0) - ((1.1196632 - exp((x0 + x1) / exp(cos(0.4887301 / x0)))) / 217040.6)"
19,7.87831e-9,"x0 * (-0.9999827 - ((0.4887301 - exp((x1 + exp(x0)) / exp(cos(0.4887301 / x0)))) / 217040.6))"
20,7.8474365e-9,"x0 * (-0.9999827 - ((exp(0.4887301) - exp((x1 + exp(x0)) / exp(cos(0.4887301 / x0)))) / 217040.6))"
