Complexity,Loss,Equation
1,0.001251044,"x1"
3,0.0012487178,"x1 * 0.9978498"
5,0.001247167,"(x1 * 0.9977837) + -0.0012479863"
6,0.0012122181,"sin(x1 * 0.4426603) * 2.3110359"
7,0.0011236644,"sin(sin(sin(x1)) / cos(x1))"
8,0.0007713076,"sin(x1 / (cos(cos(x0)) + 0.17008196))"
9,0.0006922973,"sin(sin(x1 / 1.1626668) / cos(cos(x0)))"
11,0.0006646659,"sin((sin(x1) / 1.0857524) / cos(cos(x0 * 1.1235296)))"
12,0.0006529398,"sin(sin(sin(x1 / 1.1738876)) / cos(cos(x0) * -1.0729064))"
13,0.00063118146,"sin(sin(x1 / 0.71718806) / (cos(cos(x0) * 1.150188) / 0.60036063))"
17,0.0006308352,"sin(sin(x1 / 0.71718806) / (cos(cos((x0 - 0.042274006) + 0.04342523) * 1.150188) / 0.60036063))"
