Complexity,Loss,Equation
1,0.49637622,"0.032684684"
3,0.0012244608,"x0 * -0.9974208"
5,0.001223636,"(x0 * -0.9974827) - 0.00090908137"
6,0.0012094511,"sin(x0 / -2.974977) * 3.009818"
7,0.00070474594,"cos(x1) * sin(x0 * -1.7146314)"
9,0.00070394436,"cos(0.002393935 - x1) * sin(x0 * -1.7156947)"
12,0.00060140266,"cos(x1) * sin(x1 * (x0 / (sin(x1) * -0.6447497)))"
14,0.0006001141,"sin(x1 * ((x0 / (sin(x1) * -0.6448514)) + 0.00372148)) * cos(x1)"
16,0.0005992983,"cos(x1) * (sin(((x0 / (sin(x1) * -0.64727885)) + 0.003725528) * x1) * 1.0018333)"
18,0.00059850723,"cos(x1) * (sin(x1 * (((x0 + 0.0014707405) / (sin(x1) * -0.6472082)) + 0.0036208932)) * 1.0018469)"
