Complexity,Loss,Equation
1,1.1482665e-6,"x1"
3,1.0607523e-6,"x1 * 0.99986285"
5,1.0606741e-6,"(x1 + -8.909372e-6) * 0.9998628"
7,3.5005576e-7,"(-2.6601846e-8 / (x1 - -5.433699e-7)) + x1"
8,3.499514e-7,"(-8.027897e-8 / sin(x1 - -1.6405219e-6)) + x1"
9,2.625422e-7,"(x1 + (-7.2687784e-10 / (x1 - -1.4851321e-8))) * 0.99986285"
11,2.6249555e-7,"((4.968129e-9 / (x1 - 1.0158716e-7)) + 1.0779049e-5) + (x1 * 0.99986297)"
13,2.6248486e-7,"(-9.805246e-9 / (x1 - -2.0024794e-7)) + ((x1 + (x1 * -0.00013722456)) + 7.724268e-6)"
14,2.590591e-7,"((1.5808553e-9 / (x1 - 3.2305913e-8)) + x1) + (cos(x0) * (x1 * -0.00016152136))"
16,2.5896364e-7,"x1 + (((cos(x0) * -0.00016225547) * (x1 - 0.084329516)) + (-7.88526e-9 / (x1 - -1.6120752e-7)))"
18,2.5882628e-7,"((((x1 - (0.23320879 * x0)) * -0.00016225547) * cos(x0)) + (-7.88526e-9 / (x1 - -1.6120752e-7))) + x1"
19,2.588117e-7,"((((x1 - (sin(x0) * 0.23320879)) * -0.00016225547) * cos(x0)) + x1) + (-7.88526e-9 / (x1 - -1.6120752e-7))"
20,2.5872978e-7,"(((cos(x0) * -0.00016225547) * (x1 - ((x0 - -0.27424917) * 0.23320879))) + (-7.88526e-9 / (x1 - -1.6120752e-7))) + x1"
