Complexity,Loss,Equation
1,38.614853,"0.028312143"
3,0.35301822,"x0 * -8.25281"
4,0.011622071,"sin(x0) * -9.805443"
6,0.011619773,"(0.00015465797 - sin(x0)) * 9.805433"
8,6.57501e-7,"((x1 * -0.00509621) - sin(x0)) * 9.808565"
10,6.5730825e-7,"(sin(1.7136297e-6 - x0) + (x1 * -0.0050962702)) * 9.808566"
12,5.273363e-7,"(((x1 * -0.0050995885) - (x0 * 0.0005229141)) - sin(x0)) * 9.802529"
13,5.2730866e-7,"(sin((x1 * -0.0050998842) - (x0 * 0.0005230798)) - sin(x0)) * 9.802527"
14,5.2708816e-7,"((x1 * -0.049988754) - ((x0 + -0.0033979015) * 0.0051290095)) - (sin(x0) * 9.8025255)"
15,5.084692e-7,"((((x0 * -7.758537e-5) * cos(x1)) - sin(x0)) + (x1 * -0.005095949)) * 9.808418"
17,4.419521e-7,"(((((cos(x1 * 0.2982653) * x0) * 0.06883221) + x1) * -0.005097794) - sin(x0)) * 9.804992"
