Complexity,Loss,Equation
1,0.011583566,"x1"
3,0.011572536,"x1 * 0.9984527"
5,0.011566323,"(x1 + -0.0024968113) * 0.9984459"
6,0.011540781,"x1 * cos(x0 * 0.11072506)"
8,0.011517344,"cos(x1 * (x0 * 0.05048297)) * x1"
10,0.011508789,"(cos(x1 * (x0 * 0.058034394)) * x1) * 1.0018275"
11,0.011504623,"x1 * cos((exp(x0 * x0) * x1) * -0.01852221)"
12,0.0115009155,"((cos(x1 * (x0 * 0.05842901)) * x1) + -0.0027865793) * 1.0018463"
13,0.011482226,"(x1 * 1.0030099) * cos(exp(x0 * x0) * (x1 * -0.022768673))"
15,0.0114725595,"((x1 * 1.0033027) * cos((exp(x0 * x0) * -0.023246508) * x1)) + -0.003137918"
17,0.011463544,"(cos(((exp(x0 * (x0 - -0.10144677)) * x1) * -0.022207212) + -0.016705016) * x1) * 1.0029514"
19,0.011457625,"((cos((x1 * 0.033210587) * exp(x0 * ((x0 * 0.7112029) - -0.08262674))) * x1) * 1.0058224) + -0.0029693441"
