Complexity,Loss,Equation
1,2.059954e-9,"x1"
3,2.0014703e-9,"x1 * 0.9999801"
5,2.0013342e-9,"(x1 - 3.6528132e-7) * 0.99998"
6,1.9327326e-9,"x1 * cos(x0 * -0.00826693)"
7,1.3103798e-9,"x1 - (1.7766762e-7 / (x2 - 0.00011849011))"
9,1.2519669e-9,"(x1 * 0.99998003) - (1.7766762e-7 / (x2 - 0.00011849011))"
11,1.2513854e-9,"0.99998 * (x1 - (8.928455e-7 - (9.566503e-8 / (x2 - -6.373124e-5))))"
12,1.1832781e-9,"(x1 * cos(x0 * -0.008266284)) - (1.7766762e-7 / (x2 - 0.00011849011))"
14,1.180584e-9,"cos((x0 * 0.0073111593) * x0) * (x1 - (1.7766762e-7 / (x2 - 0.00011849011)))"
15,1.1805836e-9,"(x1 - (1.7762336e-7 / (x2 - 0.00011849011))) * cos(sin((x0 * 0.0073111593) * x0))"
16,1.1805715e-9,"cos((x0 * x0) * 0.0072378665) * (x1 + (-0.0012129324 / ((x2 / 9.351876e-6) - 0.8082783)))"
18,1.1802846e-9,"cos(0.0072378665 * (-0.027907925 - (x0 * x0))) * ((-0.0012129324 / ((x2 / 9.351876e-6) - 0.8082783)) + x1)"
20,1.1802825e-9,"cos((-0.027907925 - (x0 * x0)) * 0.0072378665) * ((-0.0012129324 / (((x2 / 1.1838032) / 9.351876e-6) - 0.8082783)) + x1)"
