Complexity,Loss,Equation
1,5.7378453e-5,"x1"
3,5.7313184e-5,"x1 + -0.0002554357"
5,5.7283105e-5,"(x1 * 0.99954796) + -0.0002617638"
6,5.727908e-5,"(-0.0001796574 / exp(x0)) + x1"
7,5.7081004e-5,"x1 + (-8.169123e-5 / (0.7520739 - x1))"
8,5.7076657e-5,"x1 + (-5.2990843e-5 / (0.68190235 - sin(x1)))"
9,5.7002417e-5,"exp(cos(x2 / x1) * 0.002240388) * x1"
10,5.700241e-5,"exp(cos(x2 / x1) * sin(0.002240388)) * x1"
11,5.653357e-5,"exp(cos((x0 + x2) / x1) * 0.003896494) * x1"
13,5.6448658e-5,"x1 * exp(cos(((0.11067752 + x2) + x0) / x1) * 0.003896494)"
16,5.6380042e-5,"exp(cos((x2 + ((0.14936392 / cos(x0)) + x0)) / x1) * 0.003920319) * x1"
17,5.5980043e-5,"exp((0.0017289886 * cos((x0 + x2) / x1)) / cos(cos(x0) * 1.4103912)) * x1"
