Complexity,Loss,Equation
1,0.17947422,"-0.0045987847"
3,0.153465,"x0 * -0.1736832"
4,0.11724349,"sin(x0) - x0"
6,0.041448023,"sin(x0 / 0.50495255) - x0"
7,0.039159883,"x0 - ((x0 * x0) * x0)"
8,0.037143577,"(sin(x0) - (x0 / 1.1773944)) * 5.869786"
9,0.03641879,"(((x0 * x0) + -0.9557855) * x0) * -0.8742372"
10,0.035487723,"cos(x1) * (x0 - (x0 * (x0 * x0)))"
11,0.03540841,"cos(cos(x0)) * (x0 - ((x0 * x0) * x0))"
12,0.034348175,"(x0 - (x0 * (x0 * x0))) * cos(x1 * -1.4145837)"
13,0.03260373,"((x0 * cos(x1)) - ((x0 * x0) * x0)) * cos(x1)"
14,0.032254167,"((x0 * cos(sin(x1))) - (x0 * (x0 * x0))) * cos(x1)"
15,0.023060165,"(x0 * cos(x1 * (cos(x2) - 1.163456))) - ((x0 * x0) * x0)"
16,0.022891136,"(x0 * cos((1.1811383 - cos(x2)) * sin(x1))) - ((x0 * x0) * x0)"
17,0.020610455,"(x0 * cos(x1 * (cos(x2) - 1.30799))) - (((x0 * x0) + -0.06397167) * x0)"
18,0.020457089,"(x0 * cos(sin(x1) * (1.30799 - cos(x2)))) - (((x0 * x0) + -0.06397167) * x0)"
19,0.018969774,"(cos((cos(0.27278093 - x2) - 1.3496753) * x1) * x0) - (((x0 * x0) + -0.068333305) * x0)"
