Complexity,Loss,Equation
1,0.00036660052,"x1"
3,0.00036583925,"x1 * 0.99773276"
5,0.00036582144,"(x1 * 0.9977163) + -0.00013357402"
6,0.00036526655,"sin(x1 / -3.5287592) * -3.535076"
7,0.00036404334,"sin(x1 / cos(x1 * -0.60676175))"
9,0.00036013778,"x1 * cos(cos(x1 / 0.06314913) * -0.14881088)"
11,0.00035507954,"cos(cos(x1 / 0.06221055) * 0.22808808) * (x1 * 1.0108846)"
16,0.00035374888,"cos(cos((x0 - (x2 + sin(x2))) * x1) * 0.2345074) * (x1 * 1.0108818)"
17,0.00035318418,"x1 * (cos(cos((x2 + (sin(x2) - sin(x0))) * x1) * 0.23733392) * 1.0114398)"
18,0.0003527149,"(cos(cos(x1 * ((x2 + cos(x2 / 0.67203987)) - x1)) * -0.24066515) * 1.0126822) * x1"
19,0.00035081763,"x1 * (cos(cos((sin(x2) + (x2 - sin(x1 + x0))) * x1) * 0.2474263) * 1.0138649)"
20,0.0003502876,"(cos(cos(x1 * ((x2 - sin(x0 + x1)) + sin(sin(x2)))) * 0.25031927) * x1) * 1.0140734"
