Complexity,Loss,Equation
1,0.0009010949,"x1"
3,0.0009002397,"x1 - -0.00092182367"
5,0.0008994835,"(x1 + 0.0009141973) * 0.99941295"
7,0.00089765125,"(cos(exp(x1)) * 0.0026304158) + x1"
8,0.0008916518,"x1 - (sin(1.1537131 / x1) * 0.0045798784)"
9,0.0008852434,"x1 + (0.00083265564 / ((-1.0305442 / x1) - x0))"
11,0.0008844436,"(x1 + (0.00082937756 / ((-1.0313461 / x1) - x0))) + 0.0010922371"
12,0.0008378857,"x1 - (sin(x0 * ((x0 * 8.20327) * x1)) * -0.011852524)"
13,0.0008372958,"x1 - (sin(sin(x0 * ((x0 * x1) * 8.155825))) * -0.0134467)"
14,0.0007873702,"x1 - (sin(((x1 * (x0 * 7.7932677)) + 3.5401378) * x0) * -0.016142238)"
16,0.0007697581,"x1 - (sin((((x0 * (x1 * x1)) * x0) * x0) * 7.6987357) * -0.01764682)"
17,0.00076713896,"x1 - (sin(sin((((x1 * x0) * 4.161948) * x0) * (x1 * x0))) * 0.02265586)"
18,0.0007614026,"x1 - (sin((((x1 * ((x1 * x0) * 4.4060287)) * x0) - 0.21686096) * x0) * 0.0209123)"
19,0.0007569855,"x1 - (sin(sin(((((x0 * (x0 * x1)) * x1) * 4.4064765) - 0.22226343) * x0)) * 0.023693638)"
20,0.0007544204,"x1 - (sin(sin(sin(x0 * (((x0 * (x1 * 4.40664)) * (x0 * x1)) - 0.22914301)))) * 0.025921507)"
