Complexity,Loss,Equation
1,10.1782055,"0.103303924"
3,8.269455,"x0 * -0.9412766"
4,7.9188504,"x1 * cos(x0)"
6,5.749367,"x1 * cos(x0 / 0.56780505)"
8,2.2607691,"((0.573306 - cos(x0)) * x1) * -5.0225086"
10,0.103080526,"(x1 * ((cos(x0) - 0.57639056) * 5.101256)) - x0"
11,0.04987458,"(((sin(cos(x0)) + -0.5118576) * x1) / 0.16862202) - x0"
13,0.049868837,"(((x1 * (sin(cos(x0)) + -0.5118735)) / 0.16903107) - x0) / 0.9980519"
15,0.040727954,"((x1 * (cos(x0) + -0.5413987)) / (0.18328263 - (cos(x0) * -0.046831246))) - x0"
16,0.040725328,"((x1 * (cos(x0) + -0.5414414)) / sin(0.18440068 - (cos(x0) * -0.047700536))) - x0"
17,0.040701546,"((cos(x0) + -0.5413803) * ((x1 / (0.18333969 - (cos(x0) * -0.046847723))) - -0.009788118)) - x0"
18,0.040697686,"((cos(x0) + -0.5415145) * ((x1 / sin(0.18438406 - (cos(x0) * -0.047713008))) - -0.009241383)) - x0"
19,0.040684212,"((cos(x0) + -0.5413803) * ((x1 / (0.18333969 - (cos(x0) * -0.046882052))) - -0.009788118)) - (x0 * 1.0024476)"
20,0.040682122,"((cos(x0) + -0.5414563) * ((x1 / sin(0.1844638 - (cos(x0 + 0.006918147) * -0.0477851))) + 0.008971312)) - x0"
