Complexity,Loss,Equation
1,0.0065076225,"0.033340506"
3,0.0053696837,"0.025446236 / x0"
4,0.00038707737,"x1 / exp(x0)"
5,1.7702332e-12,"x0 - (x1 * x0)"
7,1.5789572e-12,"(x0 - (x1 * x0)) * 0.9999951"
9,1.4399054e-12,"(x0 + (4.1536114e-7 - (x1 * x0))) * 0.99999434"
11,1.4324182e-12,"((x0 + 2.7690743e-7) - ((x1 * x0) - 1.3845371e-7)) * 0.99999434"
13,1.264662e-12,"cos(sin(x0 + x1) * 0.0048623774) * (x0 - (x0 * x1))"
15,1.2581002e-12,"cos(sin(x0 + (x1 + -0.10189527)) * 0.004961606) * (x0 - (x0 * x1))"
16,1.1439129e-12,"(x0 - (x0 * x1)) * (cos(exp(cos(x0)) * (x1 * 0.005084798)) / 0.9999938)"
17,1.1398957e-12,"(x0 - (x0 * x1)) * (cos(sin(x0) * (exp(cos(x0)) * -0.004487775)) / 0.9999938)"
18,1.1398859e-12,"(x0 - (x0 * x1)) * (cos(sin(x0) * sin(exp(cos(x0)) * -0.0044877897)) / 0.9999938)"
19,1.1378396e-12,"(x0 - (x1 * x0)) * (cos(exp(cos(-0.08982228 + x0)) * (0.005084798 * sin(x1))) / 0.9999938)"
20,1.1313318e-12,"(x0 - (x1 * x0)) * (cos((exp(cos(x0) + -0.08982228) * -0.0051022274) * sin(sin(x0))) / 0.9999938)"
