Complexity,Loss,Equation
1,2.2563845e-5,"x1"
3,2.2555641e-5,"x1 / 0.9999054"
5,2.254654e-5,"(x0 * 8.72425e-6) + x1"
6,2.2542908e-5,"x1 + (-0.0005560614 / exp(x0))"
7,2.2526656e-5,"((x1 * -0.0027156228) - -1.0027722) * x1"
8,9.707599e-6,"(sin(-125.647 / x1) * -0.0064767627) + x1"
9,9.707593e-6,"x1 + sin(sin(-125.647 / x1) * -0.0064767627)"
10,6.790195e-6,"x1 + (x1 * (sin(125.64489 / x1) * 0.007954973))"
12,6.220351e-6,"x1 + (sin(125.64489 / x1) * (0.007941566 * (x1 * x1)))"
14,6.1215287e-6,"x1 + (sin(-0.9448878 / (x1 / -129.65797)) * (x1 * (x1 * -0.008415582)))"
16,5.84433e-6,"x1 + (((x1 * x1) * (x1 * -0.0084367525)) * sin(-1.0145984 / (x1 / -120.75171)))"
17,5.292295e-6,"((sin(-1.0145984 / (x1 / -120.75171)) * (cos(2.7879894 / x0) * x1)) * -0.0084367525) + x1"
18,4.908094e-6,"(sin(-1.0144951 / (x1 / -120.75171)) * (x1 * (-0.0098319445 * cos(exp(x1) / x0)))) + x1"
19,4.826839e-6,"x1 + ((sin(-1.0146083 / (x1 / -120.75171)) * -0.009680561) * (cos((x1 / x0) / -0.33069816) * x1))"
20,4.8189663e-6,"x1 + ((sin(-1.0146172 / (x1 / -120.75171)) * (x1 * -0.009594095)) * cos(exp(x1) / (x0 / x1)))"
