Complexity,Loss,Equation
1,0.00014137672,"x1"
3,0.00014125797,"x1 - -0.00034419796"
5,0.00014123479,"(x1 * 0.9993735) + 0.000913297"
6,0.00013644237,"sin(x1 / 2.7617984) * 2.8226624"
7,0.00010143002,"sin(x1 / cos(x1 - 0.16866714))"
8,6.13127e-5,"sin(x1 / cos(sin(x1) * x1))"
9,5.030601e-5,"sin(x1 / cos((x1 * x1) * -0.8610783))"
11,4.7871526e-5,"sin(x1 * (1.0166926 / cos((x1 - 0.15243575) * x1)))"
12,4.0672363e-5,"sin(sin(x1) / cos((0.21704979 / (x0 + 1.1861581)) - x1))"
13,3.3764052e-5,"sin(sin(x1) / cos(((0.13905758 / x0) * sin(x0)) - x1))"
14,3.2301003e-5,"sin(sin(x1) / cos(x1 - (sin(sin(x0) / x0) * 0.15465851)))"
15,2.8208171e-5,"sin(sin(x1) / cos(x1 - (sin(x0 * 0.72244805) * (0.16362685 / x0))))"
17,2.6823118e-5,"sin(sin(x1) / cos(x1 - (sin(x0 * 0.7168482) * (0.1708914 / x0)))) - -0.0012667767"
20,2.6466352e-5,"sin(sin(x1) / cos((sin(sin((x0 * 0.22218703) * x0)) / ((x0 + x0) * x0)) - x1))"
