Complexity,Loss,Equation
1,3277.9973,"-0.06892552"
2,3276.3564,"cos(x2)"
3,2987.8354,"x0 * -2.0903604"
5,14.649709,"(27.004818 - x2) * x0"
7,0.10296751,"(x0 * (28.00478 - x2)) - x1"
9,0.055093057,"(((27.996428 - x2) * x0) - x1) * 0.9960128"
11,0.047625884,"(x0 * (27.809298 - (x2 * 0.9945537))) - (x1 * 0.96296364)"
13,0.047371063,"(x0 * (27.80669 - (x2 * 0.99450207))) - ((x1 * 0.9624049) + 0.016761864)"
14,0.021935256,"((((27.920683 - x2) * 0.99282885) * x0) - x1) - sin(x1 * -0.10609109)"
16,0.0214151,"((x0 * (27.739557 - (x2 * 0.99320513))) - (x1 / 0.9921171)) - sin(x1 * -0.10460661)"
18,0.020894097,"(((27.718388 - (x2 * 0.99274224)) * x0) - x1) - sin(((-0.16872181 / x2) + -0.097295694) * x1)"
19,0.016510312,"(((27.711624 - (x2 * 0.9924905)) * x0) - x1) - sin((sin(x0 / 2.2756355) + x1) * -0.1044535)"
